owner_node	paper_section	question_type	label	status	explicit_question_or_obligation	closure_condition	basis_state	basis_source_file_ids	evidence_state	evidence_refs	direct_predecessors
C050	5.1.1	BLOCKED_DERIVED_NODE	Finite-support raw presymplectic carrier (V_fin,σ_raw)	CORE_BLOCKED	Future-invariant old-old raw skew blocks on the single finite-support carrier. Revalidation is mandatory after replacing the primitive IST growth law by response-coupled growth.	Future-invariant old-old raw skew blocks on the single finite-support carrier. Revalidation is mandatory after replacing the primitive IST growth law by response-coupled growth.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C008;C019;C023
P026	5.1.1.1	PROOF_OBLIGATION	Raw presymplectic well-definedness and future invariance	CORE_REQUIRES_PROOF	Prove bilinearity, antisymmetry, finite-support well-definedness, and future invariance of the single raw skew carrier.	Prove bilinearity, antisymmetry, finite-support well-definedness, and future invariance of the single raw skew carrier.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C008;C019;C023;C043;P024
P027	5.1.2.1	PROOF_OBLIGATION	Algebraic Weyl direct-system coherence	CORE_REQUIRES_PROOF	Prove CCR compatibility, inclusion-map coherence, and independence from separately quotienting local radicals.	Prove CCR compatibility, inclusion-map coherence, and independence from separately quotienting local radicals.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C050;P026
M050	5.2.1	MISSING_CONSTRUCTION_OR_THEOREM	Derived provenance Hilbert metric G	CORE_REQUIRED_MISSING	Derive, rather than merely assume, the node-local/cylinder-consistent/endpoint-neutral Hilbert metric selecting G_v∝b^{|v|}a(v)^2.	Derive, rather than merely assume, the node-local/cylinder-consistent/endpoint-neutral Hilbert metric selecting G_v∝b^{|v|}a(v)^2.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		C003
P028	5.2.1.1	PROOF_OBLIGATION	Provenance metric existence and cylinder consistency	CORE_REQUIRES_PROOF	Derive an endpoint-neutral node-local metric family and prove cylinder/interlevel consistency.	Derive an endpoint-neutral node-local metric family and prove cylinder/interlevel consistency.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C003;C044;P019
P029	5.2.1.2	PROOF_OBLIGATION	Provenance metric positivity and uniqueness up to normalization	CORE_REQUIRES_PROOF	Prove positive definiteness and uniqueness of the admitted metric under the declared locality, consistency, and normalization conditions.	Prove positive definiteness and uniqueness of the admitted metric under the declared locality, consistency, and normalization conditions.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		P028
C052	5.2.2	PROOF_OBLIGATION	Hilbert-Schmidt normalized skew operator K	CORE_REQUIRES_PROOF	K=G^{-1/2}σG^{-1/2}; prove exhaustive edge-taxonomy majorant and tail.	K=G^{-1/2}σG^{-1/2}; prove exhaustive edge-taxonomy majorant and tail.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C050;M050
P030	5.2.2.1	PROOF_OBLIGATION	Normalized skew operator boundedness and skew-adjointness	CORE_REQUIRES_PROOF	Prove that K=G^{-1/2}σG^{-1/2} is well-defined, bounded on the admitted carrier, and skew-adjoint/antisymmetric in the selected metric.	Prove that K=G^{-1/2}σG^{-1/2} is well-defined, bounded on the admitted carrier, and skew-adjoint/antisymmetric in the selected metric.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C050;M050;P026;P029
P031	5.2.2.2	PROOF_OBLIGATION	Hilbert-Schmidt edge majorant and tail	CORE_REQUIRES_PROOF	Prove the exhaustive edge taxonomy, square-summable majorant, and complete Hilbert-Schmidt tail estimate.	Prove the exhaustive edge taxonomy, square-summable majorant, and complete Hilbert-Schmidt tail estimate.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		P030
C054	5.2.3	PROOF_OBLIGATION	Algebraic radical triviality and infinite rank	CORE_REQUIRES_PROOF	Analytic rational-function/shell-rank arguments must be extracted from the runner.	Analytic rational-function/shell-rank arguments must be extracted from the runner.	PROOF_REQUIRED		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C050
P032	5.2.3.1	PROOF_OBLIGATION	Algebraic radical triviality	CORE_REQUIRES_PROOF	Prove that the raw finite-support presymplectic radical is trivial on the admitted algebraic carrier.	Prove that the raw finite-support presymplectic radical is trivial on the admitted algebraic carrier.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C050;P026
P033	5.2.3.2	PROOF_OBLIGATION	Infinite rank of the raw skew operator	CORE_REQUIRES_PROOF	Prove infinite rank using the exact shell/rational-function argument independently of completed injectivity.	Prove infinite rank using the exact shell/rational-function argument independently of completed injectivity.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C050;P026
C053	5.3.1	BLOCKED_DERIVED_NODE	Regular quasifree provenance state ω_prov	CORE_BLOCKED	Once G and bounded K are admitted, μ=(||K||/2)G gives a positive regular quasifree state.	Once G and bounded K are admitted, μ=(||K||/2)G gives a positive regular quasifree state.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C052;M050
P034	5.3.1.1	PROOF_OBLIGATION	Quasifree positivity, regularity, and cylinder consistency	CORE_REQUIRES_PROOF	Prove that μ=(||K||/2)G satisfies the quasifree positivity bound, regularity, and interlevel consistency.	Prove that μ=(||K||/2)G satisfies the quasifree positivity bound, regularity, and interlevel consistency.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C052;M050;P029;P030
C055	5.4.1	BLOCKED_DERIVED_NODE	Local descendant-cone Hilbert completion	CORE_BLOCKED	Canonical local restriction/completion once G and the cone class are admitted.	Canonical local restriction/completion once G and the cone class are admitted.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C019;C053;M050
P035	5.4.1.1	PROOF_OBLIGATION	Local cone restriction and Hilbert-completion canonicity	CORE_REQUIRES_PROOF	Prove that descendant-cone restriction and completion are canonical and compatible with global metric/state embeddings.	Prove that descendant-cone restriction and completion are canonical and compatible with global metric/state embeddings.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C019;C053;M050;P034
C056	5.4.2	PROOF_OBLIGATION	Completed local injectivity Ker K_p={0}	CORE_REQUIRES_PROOF	Formalize the ray/generating-function/log-singularity proof and the complete remainder estimate.	Formalize the ray/generating-function/log-singularity proof and the complete remainder estimate.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C052;C055
P036	5.4.2.1	PROOF_OBLIGATION	Ray/generating-function injectivity argument	CORE_REQUIRES_PROOF	Formalize the ray reduction, generating function, and logarithmic-singularity argument giving local kernel triviality on a dense algebraic domain.	Formalize the ray reduction, generating function, and logarithmic-singularity argument giving local kernel triviality on a dense algebraic domain.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C052;C055;P030;P035
P037	5.4.2.2	PROOF_OBLIGATION	Complete remainder estimate and completion transfer	CORE_REQUIRES_PROOF	Prove the full remainder estimate and transfer algebraic injectivity to the completed local Hilbert carrier.	Prove the full remainder estimate and transfer algebraic injectivity to the completed local Hilbert carrier.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		P036
C057	6.1.1	PROOF_OBLIGATION	GNS / Araki-Woods spectral handoff	CORE_REQUIRES_PROOF	Verify the exact external theorem hypotheses against primary sources.	Verify the exact external theorem hypotheses against primary sources.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C051;C053;C054
P038	6.1.1.1	PROOF_OBLIGATION	GNS existence and representation handoff	CORE_REQUIRES_PROOF	Verify the quasifree-state hypotheses and construct the exact GNS representation used downstream.	Verify the quasifree-state hypotheses and construct the exact GNS representation used downstream.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C051;C053;C054;P027;P032;P033;P034
P039	6.1.1.2	PROOF_OBLIGATION	Araki-Woods realization and spectral identification	CORE_REQUIRES_PROOF	Prove/verify the Araki-Woods realization and identify the one-particle spectral data used by the local factor classification.	Prove/verify the Araki-Woods realization and identify the one-particle spectral data used by the local factor classification.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C052;P031;P038
C058	6.1.2	PROOF_OBLIGATION	Local hyperfinite type-III₁ factor	CORE_REQUIRES_PROOF	Requires completed injectivity plus a fully verified AW/ITPFI/ratio-set classification argument.	Requires completed injectivity plus a fully verified AW/ITPFI/ratio-set classification argument.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C056;C057
P040	6.1.2.1	PROOF_OBLIGATION	Local factoriality and center triviality	CORE_REQUIRES_PROOF	Prove that each admitted local von Neumann algebra has trivial center under the selected representation.	Prove that each admitted local von Neumann algebra has trivial center under the selected representation.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C056;C057;P037;P039
P041	6.1.2.2	PROOF_OBLIGATION	Local hyperfiniteness	CORE_REQUIRES_PROOF	Prove hyperfiniteness/AFD of the admitted local factors from the finite approximation system.	Prove hyperfiniteness/AFD of the admitted local factors from the finite approximation system.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C057;P038;P040
P042	6.1.2.3	PROOF_OBLIGATION	Type-III1 ratio-set classification	CORE_REQUIRES_PROOF	Verify the ITPFI/Araki-Woods ratio-set or equivalent classification hypotheses and prove type III1.	Verify the ITPFI/Araki-Woods ratio-set or equivalent classification hypotheses and prove type III1.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C057;P039;P040;P041
C059	6.2.1	BLOCKED_DERIVED_NODE	Finite active interface taxonomy for descendant cones	CORE_BLOCKED	Extract the exact rule-level interface formula and keep it distinct from the blocked emergent-geometry selector. Revalidation is mandatory after replacing the primitive IST growth law by response-coupled growth.	Extract the exact rule-level interface formula and keep it distinct from the blocked emergent-geometry selector. Revalidation is mandatory after replacing the primitive IST growth law by response-coupled growth.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C008;C019
P043	6.2.1.1	PROOF_OBLIGATION	Finite interface taxonomy exhaustivity and disjointness	CORE_REQUIRES_PROOF	Prove that the rule-level interface cases are finite, exhaustive, mutually well-typed, and distinct from any emergent geometry selector.	Prove that the rule-level interface cases are finite, exhaustive, mutually well-typed, and distinct from any emergent geometry selector.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C008;C019;P005
C060	6.2.2	PROOF_OBLIGATION	Exact complement split chain	CORE_REQUIRES_PROOF	Prove one-particle AW tensor factorization and the III₁–I–III₁ inclusion chain.	Prove one-particle AW tensor factorization and the III₁–I–III₁ inclusion chain.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C053;C058;C059
P044	6.2.2.1	PROOF_OBLIGATION	One-particle complement tensor factorization	CORE_REQUIRES_PROOF	Prove the exact one-particle decomposition and induced Araki-Woods tensor factorization across the finite active interface.	Prove the exact one-particle decomposition and induced Araki-Woods tensor factorization across the finite active interface.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C053;C058;C059;P042;P043
P045	6.2.2.2	PROOF_OBLIGATION	Type-I interpolant and exact III1-I-III1 inclusion	CORE_REQUIRES_PROOF	Construct/identify the type-I interpolating factor and prove the exact local inclusion chain.	Construct/identify the type-I interpolating factor and prove the exact local inclusion chain.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C058;P044
C061	6.2.3	BLOCKED_DERIVED_NODE	Dual complement envelope isotony	CORE_BLOCKED	Exterior antitony plus commutant reversal yields isotony; explicitly not Haag duality.	Exterior antitony plus commutant reversal yields isotony; explicitly not Haag duality.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C060
P046	6.2.3.1	PROOF_OBLIGATION	Exterior antitony and commutant-reversal isotony	CORE_REQUIRES_PROOF	Prove exterior antitony and derive dual-envelope isotony by commutant reversal, without claiming Haag duality.	Prove exterior antitony and derive dual-envelope isotony by commutant reversal, without claiming Haag duality.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C060;P045
O090	6.3.1	MATHEMATICAL_OBSTRUCTION_PROOF	Counting-terminal Fock identification obstruction	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED	The rejected counting-terminal Fock identification with the provenance GNS/Araki-Woods carrier fails the retained exact compatibility gate; only the obstruction is kept.	Prove the exact incompatibility excluding the counting-terminal Fock identification with the provenance GNS/AW carrier; do not generalize beyond the tested/derived hypotheses.	MATHEMATICAL_OBSTRUCTION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C057
O091	6.3.2	MATHEMATICAL_OBSTRUCTION_PROOF	Ontic corner/Schur inductive-limit obstruction	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED	The corner/Schur algebra inductive-limit route does not by itself provide the selected ontic AQFT net inclusion; retain the exact type-I/compact-limit obstruction only.	Prove the type-I/compact-limit obstruction showing why the corner/Schur inductive-limit route is not the selected ontic AQFT net inclusion.	MATHEMATICAL_OBSTRUCTION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C051;C060
O071	7.1.1	MATHEMATICAL_OBSTRUCTION_PROOF	Geometry/interface canonicity obstruction	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED	The retained multilevel interface data do not yet select a unique canonical geometry/interface object; this obstruction must be closed before the geometry/Hodge/HK branch is activated.	Prove the current interface/geometry candidate family does not canonically select a unique object, or replace it by a derived unique selector; only then may M070 advance.	MATHEMATICAL_OBSTRUCTION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C059
M070	7.1.2	MISSING_CONSTRUCTION_OR_THEOREM	Canonical emergent interface/geometry selector	CORE_REQUIRED_MISSING	Derive a unique canonical emergent interface/geometry selector after the explicit O071 canonicity obstruction is resolved; no geometry is admitted by naming or visual analogy alone.	Unique response/provenance-derived multilevel interface continuation.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		C019;C021;C059;O071
P047	7.1.2.1	PROOF_OBLIGATION	Canonical geometry/interface selector existence	CORE_REQUIRES_PROOF	Construct an admitted selector from the resolved finite interface and response data without naming geometry by analogy.	Construct an admitted selector from the resolved finite interface and response data without naming geometry by analogy.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C019;C021;C059;O071;P043
P048	7.1.2.2	PROOF_OBLIGATION	Geometry selector uniqueness, equivariance, and naturality	CORE_REQUIRES_PROOF	Prove uniqueness/canonicity, provenance equivariance, and refinement naturality of the selected interface/geometry object.	Prove uniqueness/canonicity, provenance equivariance, and refinement naturality of the selected interface/geometry object.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C022;P047
B071	7.2.1	QUARANTINED_BRANCH	Hodge / geometric-locality / HK geometry branch	QUARANTINED	Not part of the active DAG until M070 is closed.	Not part of the active DAG until M070 is closed.	QUARANTINED		QUARANTINED_NO_ACTIVE_EVIDENCE		M070
M080	8.1.1	MISSING_CONSTRUCTION_OR_THEOREM	Local standardness of (M(O),Ω)	CORE_REQUIRED_MISSING	Prove the selected GNS vector is cyclic and separating for every admitted local algebra.	Prove the selected GNS vector is cyclic and separating for every admitted local algebra.	MISSING_CONSTRUCTION		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		C057;C058
P049	8.1.1.1	PROOF_OBLIGATION	Local cyclicity of the GNS vector	CORE_REQUIRES_PROOF	Prove that the selected GNS vector is cyclic for every admitted local algebra.	Prove that the selected GNS vector is cyclic for every admitted local algebra.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C057;C058;P042
P050	8.1.1.2	PROOF_OBLIGATION	Local separatingness of the GNS vector	CORE_REQUIRES_PROOF	Prove that the selected GNS vector is separating for every admitted local algebra.	Prove that the selected GNS vector is separating for every admitted local algebra.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C057;C058;P049
M082	8.1.2	MISSING_CONSTRUCTION_OR_THEOREM	Derived local modular flow	CORE_REQUIRED_MISSING	Requires standard local pairs and an admitted representation/action; only then can modular time be discussed.	Requires standard local pairs and an admitted representation/action; only then can modular time be discussed.	MISSING_CONSTRUCTION		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		M080
P051	8.1.2.1	PROOF_OBLIGATION	Tomita operator closure and polar decomposition	CORE_REQUIRES_PROOF	Construct the local Tomita operator on the standard core, prove closability, and obtain the modular operator/conjugation polar decomposition.	Construct the local Tomita operator on the standard core, prove closability, and obtain the modular operator/conjugation polar decomposition.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		M080;P049;P050
P052	8.1.2.2	PROOF_OBLIGATION	Local modular automorphism group and net compatibility	CORE_REQUIRES_PROOF	Prove the one-parameter automorphism-group law and its admitted locality/net compatibility.	Prove the one-parameter automorphism-group law and its admitted locality/net compatibility.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		P051
O081	8.1.3	MATHEMATICAL_OBSTRUCTION_PROOF	Global native modular-conjugation lift obstruction	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED	Current source supports an abstract opposite shadow and local representatives, but no single native global CNNA involution.	State and prove the exact scope of the native AW-mirror/modular-conjugation no-go against the admitted candidate class, with current evidence or an analytic proof.	MATHEMATICAL_OBSTRUCTION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C057
O092	8.1.4	MATHEMATICAL_OBSTRUCTION_PROOF	K-selected polarization uniqueness/compatibility obstruction	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED	Anti-symplectic polarizations exist at finite/completed level, but the tested K-selected finite polarizations fail the required interlevel/canonical uniqueness handoff; no unique global selected polarization follows.	Prove the finite/interlevel polarization incompatibility and the non-uniqueness/cutoff boundary; existence of some anti-symplectic involution must not be conflated with a canonical selected one.	MATHEMATICAL_OBSTRUCTION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C052
M086	8.1.5	MISSING_CONSTRUCTION_OR_THEOREM	Native provenance realization of the local modular action	CORE_REQUIRED_MISSING	Realize the abstract local Tomita-Takesaki modular action as a canonical action on admitted CNNA provenance/response observables without postulating a global involution.	Construct a canonical native action on admitted CNNA observables or prove an exact obstruction; do not infer it from abstract modular theory alone.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		M082;O081;O092
P053	8.1.5.1	PROOF_OBLIGATION	Native provenance action realization and intertwining	CORE_REQUIRES_PROOF	Realize the abstract local modular action on admitted provenance/response observables and prove the representation intertwining relation.	Realize the abstract local modular action on admitted provenance/response observables and prove the representation intertwining relation.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		M082;O081;O092;P052
P054	8.1.5.2	PROOF_OBLIGATION	Native modular action canonicity and choice independence	CORE_REQUIRES_PROOF	Prove independence from local representatives/polarization auxiliaries and the required canonical compatibility on overlaps.	Prove independence from local representatives/polarization auxiliaries and the required canonical compatibility on overlaps.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		P053
M083	8.2.1	MISSING_CONSTRUCTION_OR_THEOREM	Covariance group and spectrum condition	CORE_REQUIRED_MISSING	A derived automorphism/covariance group and positive generator are absent.	A derived automorphism/covariance group and positive generator are absent.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		C061;M082;M086
P055	8.2.1.1	PROOF_OBLIGATION	Covariance automorphism group	CORE_REQUIRES_PROOF	Construct and prove the group action/covariance identities on the admitted local net.	Construct and prove the group action/covariance identities on the admitted local net.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C061;M082;M086;P046;P052;P054
P056	8.2.1.2	PROOF_OBLIGATION	Positive generator of the covariance group	CORE_REQUIRES_PROOF	Prove existence of the self-adjoint generator and the required positivity statement.	Prove existence of the self-adjoint generator and the required positivity statement.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		P055
P057	8.2.1.3	PROOF_OBLIGATION	Spectrum condition	CORE_REQUIRES_PROOF	Prove the declared spectrum condition for the derived covariance representation.	Prove the declared spectrum condition for the derived covariance representation.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		P055;P056
O084	8.3.1	MATHEMATICAL_OBSTRUCTION_PROOF	ω_prov purity obstruction	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED	The selected quasifree reference state is mixed; purity is not merely unproved for this candidate.	Prove the mixedness/purity boundary for the selected ω_prov under the admitted covariance data; distinguish finite spectral evidence from a global theorem.	MATHEMATICAL_OBSTRUCTION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C053
M085	8.3.2	MISSING_CONSTRUCTION_OR_THEOREM	Canonical purification / pure global state branch	CORE_REQUIRED_MISSING	Required only for the global-purity target; must be derived without adding a free noncanonical choice.	Required only for the global-purity target; must be derived without adding a free noncanonical choice.	MISSING_CONSTRUCTION		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		O084
P058	8.3.2.1	PROOF_OBLIGATION	Purification or pure global state existence	CORE_REQUIRES_PROOF	Construct a pure global state/purification branch compatible with the admitted quasifree/local data.	Construct a pure global state/purification branch compatible with the admitted quasifree/local data.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C053;O084;P034
P059	8.3.2.2	PROOF_OBLIGATION	Purification canonicity and no-free-choice theorem	CORE_REQUIRES_PROOF	Prove that the selected purification is canonical under the declared data and introduces no free non-derived choice.	Prove that the selected purification is canonical under the declared data and introduces no free non-derived choice.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		P058
