node_number	id	section_path	derivation_order	main_directory	main_artifact	main_state	supplement_directory	supplement_artifact	supplement_state	result
038	P004	1.5.5.1	38	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination/DOCUMENTATION.md	PLANNED	PASS
039	P005	1.5.5.2	39	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness/DOCUMENTATION.md	PLANNED	PASS
040	P006	1.5.5.3	40	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence/DOCUMENTATION.md	PLANNED	PASS
041	O002	1.6.1	41	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction/DOCUMENTATION.md	PLANNED	PASS
042	CTRL001	1.6.2	42	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control/DOCUMENTATION.md	PLANNED	PASS
043	CTRL002	1.6.3	43	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test/DOCUMENTATION.md	PLANNED	PASS
044	CTRL003	1.6.4	44	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/044_CTRL003__log_response_mode_robustness_control	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/044_CTRL003__log_response_mode_robustness_control/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/044_CTRL003__log_response_mode_robustness_control	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/044_CTRL003__log_response_mode_robustness_control/DOCUMENTATION.md	PLANNED	PASS
045	CTRL004	1.6.5	45	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/045_CTRL004__saturating_response_mode_robustness_control	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/045_CTRL004__saturating_response_mode_robustness_control/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/045_CTRL004__saturating_response_mode_robustness_control	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/045_CTRL004__saturating_response_mode_robustness_control/DOCUMENTATION.md	PLANNED	PASS
046	C020	2.1.1	46	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/DOCUMENTATION.md	PLANNED	PASS
047	P007	2.1.1.1	47	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/047_P007__general_admissible_cut_partition_and_canonicity	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/047_P007__general_admissible_cut_partition_and_canonicity/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/047_P007__general_admissible_cut_partition_and_canonicity	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/047_P007__general_admissible_cut_partition_and_canonicity/DOCUMENTATION.md	PLANNED	PASS
048	C021	2.1.2	48	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/DOCUMENTATION.md	PLANNED	PASS
049	P008	2.1.2.1	49	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/049_P008__general_interior_solve_existence_and_uniqueness	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/049_P008__general_interior_solve_existence_and_uniqueness/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/049_P008__general_interior_solve_existence_and_uniqueness	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/049_P008__general_interior_solve_existence_and_uniqueness/DOCUMENTATION.md	PLANNED	PASS
050	P009	2.1.2.2	50	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/050_P009__general_schur_dtn_response_well_definedness	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/050_P009__general_schur_dtn_response_well_definedness/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/050_P009__general_schur_dtn_response_well_definedness	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/050_P009__general_schur_dtn_response_well_definedness/DOCUMENTATION.md	PLANNED	PASS
051	P010	2.1.2.3	51	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/051_P010__directed_kron_structural_and_positivity_preservation	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/051_P010__directed_kron_structural_and_positivity_preservation/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/051_P010__directed_kron_structural_and_positivity_preservation	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/051_P010__directed_kron_structural_and_positivity_preservation/DOCUMENTATION.md	PLANNED	PASS
052	C022	2.1.3	52	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/052_C022__schur_nesting_common_ambient_naturality	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/052_C022__schur_nesting_common_ambient_naturality/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/052_C022__schur_nesting_common_ambient_naturality	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/052_C022__schur_nesting_common_ambient_naturality/DOCUMENTATION.md	PLANNED	PASS
053	C023	2.2.1	53	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/053_C023__symmetric_skew_response_split_s_a	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/053_C023__symmetric_skew_response_split_s_a/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/053_C023__symmetric_skew_response_split_s_a	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/053_C023__symmetric_skew_response_split_s_a/DOCUMENTATION.md	PLANNED	PASS
054	C024	2.2.2	54	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/054_C024__backreaction_current_b_a_live_a_record	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/054_C024__backreaction_current_b_a_live_a_record/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/054_C024__backreaction_current_b_a_live_a_record	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/054_C024__backreaction_current_b_a_live_a_record/DOCUMENTATION.md	PLANNED	PASS
055	C025	2.3.1	55	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier/DOCUMENTATION.md	PLANNED	PASS
056	P011	2.3.1.1	56	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier/056_P011__regional_response_restriction_canonicity_and_functoriality	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier/056_P011__regional_response_restriction_canonicity_and_functoriality/SECTION.tex	PLANNED	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier/056_P011__regional_response_restriction_canonicity_and_functoriality	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier/056_P011__regional_response_restriction_canonicity_and_functoriality/DOCUMENTATION.md	PLANNED	PASS
057	M030	3.1.1	57	derivation/paper/main/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor	derivation/paper/main/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/SECTION.tex	PLANNED	derivation/supplement/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor	derivation/supplement/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/DOCUMENTATION.md	PLANNED	PASS
058	P012	3.1.1.1	58	derivation/paper/main/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/058_P012__effective_role_plane_rank_and_nondegeneracy	derivation/paper/main/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/058_P012__effective_role_plane_rank_and_nondegeneracy/SECTION.tex	PLANNED	derivation/supplement/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/058_P012__effective_role_plane_rank_and_nondegeneracy	derivation/supplement/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/058_P012__effective_role_plane_rank_and_nondegeneracy/DOCUMENTATION.md	PLANNED	PASS
059	P013	3.1.1.2	59	derivation/paper/main/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/059_P013__role_functor_naturality_equivariance_and_uniqueness	derivation/paper/main/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/059_P013__role_functor_naturality_equivariance_and_uniqueness/SECTION.tex	PLANNED	derivation/supplement/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/059_P013__role_functor_naturality_equivariance_and_uniqueness	derivation/supplement/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/059_P013__role_functor_naturality_equivariance_and_uniqueness/DOCUMENTATION.md	PLANNED	PASS
060	C032	3.2.1	60	derivation/paper/main/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier	derivation/paper/main/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier/SECTION.tex	PLANNED	derivation/supplement/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier	derivation/supplement/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier/DOCUMENTATION.md	PLANNED	PASS
061	P014	3.2.1.1	61	derivation/paper/main/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier/061_P014__local_support_carrier_and_projector_coherence	derivation/paper/main/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier/061_P014__local_support_carrier_and_projector_coherence/SECTION.tex	PLANNED	derivation/supplement/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier/061_P014__local_support_carrier_and_projector_coherence	derivation/supplement/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier/061_P014__local_support_carrier_and_projector_coherence/DOCUMENTATION.md	PLANNED	PASS
062	C033	3.3.1	62	derivation/paper/main/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure	derivation/paper/main/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure/SECTION.tex	PLANNED	derivation/supplement/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure	derivation/supplement/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure/DOCUMENTATION.md	PLANNED	PASS
063	P015	3.3.1.1	63	derivation/paper/main/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure/063_P015__finite_response_algebra_closure_and_exact_stabilization	derivation/paper/main/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure/063_P015__finite_response_algebra_closure_and_exact_stabilization/SECTION.tex	PLANNED	derivation/supplement/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure/063_P015__finite_response_algebra_closure_and_exact_stabilization	derivation/supplement/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure/063_P015__finite_response_algebra_closure_and_exact_stabilization/DOCUMENTATION.md	PLANNED	PASS
064	M031	3.4.1	64	derivation/paper/main/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra	derivation/paper/main/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra/SECTION.tex	PLANNED	derivation/supplement/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra	derivation/supplement/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra/DOCUMENTATION.md	PLANNED	PASS
065	P016	3.4.1.1	65	derivation/paper/main/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra/065_P016__intrinsic_generator_independence_and_canonical_algebra_equivalence	derivation/paper/main/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra/065_P016__intrinsic_generator_independence_and_canonical_algebra_equivalence/SECTION.tex	PLANNED	derivation/supplement/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra/065_P016__intrinsic_generator_independence_and_canonical_algebra_equivalence	derivation/supplement/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra/065_P016__intrinsic_generator_independence_and_canonical_algebra_equivalence/DOCUMENTATION.md	PLANNED	PASS
066	O048	3.5.1	66	derivation/paper/main/sections/03_directed_effective_response_algebra/05_finite_algebraic_obstruction_boundary/066_O048__finite_cyclicity_dimension_rank_obstruction	derivation/paper/main/sections/03_directed_effective_response_algebra/05_finite_algebraic_obstruction_boundary/066_O048__finite_cyclicity_dimension_rank_obstruction/SECTION.tex	PLANNED	derivation/supplement/sections/03_directed_effective_response_algebra/05_finite_algebraic_obstruction_boundary/066_O048__finite_cyclicity_dimension_rank_obstruction	derivation/supplement/sections/03_directed_effective_response_algebra/05_finite_algebraic_obstruction_boundary/066_O048__finite_cyclicity_dimension_rank_obstruction/DOCUMENTATION.md	PLANNED	PASS
067	C040	4.1.1	67	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/DOCUMENTATION.md	PLANNED	PASS
068	P017	4.1.1.1	68	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/068_P017__exact_inverse_depth_cauchy_hilbert_identification	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/068_P017__exact_inverse_depth_cauchy_hilbert_identification/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/068_P017__exact_inverse_depth_cauchy_hilbert_identification	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/068_P017__exact_inverse_depth_cauchy_hilbert_identification/DOCUMENTATION.md	PLANNED	PASS
069	P018	4.1.1.2	69	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/069_P018__cauchy_determinant_nondegeneracy_and_rank	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/069_P018__cauchy_determinant_nondegeneracy_and_rank/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/069_P018__cauchy_determinant_nondegeneracy_and_rank	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/069_P018__cauchy_determinant_nondegeneracy_and_rank/DOCUMENTATION.md	PLANNED	PASS
070	C041	4.1.2	70	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/070_C041__exact_pre_post_schur_factorization_m_a_eff_h	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/070_C041__exact_pre_post_schur_factorization_m_a_eff_h/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/070_C041__exact_pre_post_schur_factorization_m_a_eff_h	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/070_C041__exact_pre_post_schur_factorization_m_a_eff_h/DOCUMENTATION.md	PLANNED	PASS
071	C042	4.2.1	71	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/071_C042__canonical_schedule_ancestor_return_rank_closure	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/071_C042__canonical_schedule_ancestor_return_rank_closure/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/071_C042__canonical_schedule_ancestor_return_rank_closure	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/071_C042__canonical_schedule_ancestor_return_rank_closure/DOCUMENTATION.md	PLANNED	PASS
072	CTRL005	4.2.2	72	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/072_CTRL005__layer_batch_schedule_robustness_control	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/072_CTRL005__layer_batch_schedule_robustness_control/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/072_CTRL005__layer_batch_schedule_robustness_control	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/072_CTRL005__layer_batch_schedule_robustness_control/DOCUMENTATION.md	PLANNED	PASS
073	C044	4.3.1	73	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps/DOCUMENTATION.md	PLANNED	PASS
