usage_id	reference_id	id	paper_section	scope	target_file	anchor_id	bibtex_key	citation_locator	claim_role	load_bearing	context_short	claim_paraphrase	hypothesis_mapping	formalization_status	placement_status
EXT-USE-P001-MATHLIB-FINSUM-SUPP	EXT-REF-MATHLIB-005	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-FINSUM-SEMANTICS-SUPP	MathlibBigOperatorsFinFabf563a	Fin.sum_univ_zero; Fin.sum_univ_succ; pinned source commit fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	API_REUSE	false	Supplies the finite-sum recursion paired with Fin.foldl.	The matrix-product value proof converts the exact fold into the standard Fintype sum.	No analytical assumption; this is a finite algebraic identity.	PROOF_API_USED_EXACT_SEMANTIC_BRIDGE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-FINSET-MAX-MAIN	EXT-REF-MATHLIB-006	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-FINITE-MAXIMUM	MathlibFinsetMaxFabf563a	\texttt{Finset.exists\_max\_image}	API_REUSE	false	Finite maximum selection for the the directed maximum-principle proof potential argument.	A maximum exists on the finite boundary-interior cut.	The cut vertex type is finite and nonempty because the distinguished boundary port exists.	PROOF_API_USED_DIRECTED_MAXIMUM_PRINCIPLE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-FINSET-MAX-SUPP	EXT-REF-MATHLIB-006	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-FINITE-MAXIMUM-SUPP	MathlibFinsetMaxFabf563a	Finset.exists_max_image; pinned source commit fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	API_REUSE	false	Documents the finite maximum-selection theorem used in the directed maximum-principle proof.	A finite nonempty image admits a maximizing element.	The distinguished boundary port witnesses nonemptiness.	PROOF_API_USED_DIRECTED_MAXIMUM_PRINCIPLE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-ORDERED-SUM-MAIN	EXT-REF-MATHLIB-007	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-NONNEGATIVE-SUM-ZERO	MathlibOrderedFinsetSumsFabf563a	\texttt{Finset.sum\_eq\_zero\_iff\_of\_nonneg}	API_REUSE	false	Finite nonnegative-sum zero criterion in the the directed maximum-principle proof defect argument.	Every nonnegative maximum-defect term vanishes when their finite sum is zero.	Off-diagonal nonpositivity and global maximality supply termwise nonnegativity.	PROOF_API_USED_DIRECTED_MAXIMUM_PRINCIPLE_AND_STRICT_POSITIVITY	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-ORDERED-SUM-SUPP	EXT-REF-MATHLIB-007	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-NONNEGATIVE-SUM-ZERO-SUPP	MathlibOrderedFinsetSumsFabf563a	Finset.sum_eq_zero_iff_of_nonneg; pinned source commit fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	API_REUSE	false	Documents the exact finite ordered-sum implication used by the directed maximum-principle proof.	A zero sum of nonnegative rational terms has all terms zero.	the directed maximum-principle proof proves termwise nonnegativity before invoking the equivalence.	PROOF_API_USED_DIRECTED_MAXIMUM_PRINCIPLE_AND_STRICT_POSITIVITY	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-SUM-TYPE-MAIN	EXT-REF-MATHLIB-008	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-SUM-TYPE-DECOMPOSITION	MathlibFintypeBigOperatorsFabf563a	\texttt{Fintype.sum\_sum\_type}; \texttt{Fintype.sum\_eq\_single}; \texttt{Fintype.sum\_eq\_zero}	API_REUSE	false	Boundary/interior decomposition and selected/zero sums over the complete finite cut type.	The full cut sum decomposes by the sum type; a unique selected term and a pointwise-zero family determine the corresponding whole-Fintype sums.	The cut carrier is `Fin boundary ⊕ Fin interior`; cut-coordinate injectivity supplies uniqueness; the empty-edge integrand is pointwise zero.	PROOF_API_USED_DIRECTED_MAXIMUM_PRINCIPLE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-SUM-TYPE-SUPP	EXT-REF-MATHLIB-008	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-SUM-TYPE-DECOMPOSITION-SUPP	MathlibFintypeBigOperatorsFabf563a	Fintype.sum_sum_type; Fintype.sum_eq_single; Fintype.sum_eq_zero; pinned source commit fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	API_REUSE	false	Documents the sum-type decomposition and whole-Fintype selected/zero sum APIs used by P001.	Full cut rows split into boundary/interior blocks; unique-coordinate indicators and pointwise-zero integrands reduce the corresponding finite sums.	The block-entry definition uses the cut sum type; S08 proves coordinate injectivity and pointwise zero in the relevant branches.	PROOF_API_USED_DIRECTED_MAXIMUM_PRINCIPLE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-SCHUR-MAIN	EXT-REF-MATHLIB-001	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-MATHLIB-SCHUR-API-MAIN	MathlibSchurComplementFabf563a	module header and main results	API_COVERAGE_AUDIT	false	Records the Schur-complement API boundary after the directed maximum-principle proof kernel triviality.	Mathlib supplies block identities under invertibility assumptions but not the CNNA reachability proof.	No hypothesis is imported; this is an API-scope statement.	API_CONTEXT_ONLY_NO_IMPORTED_HYPOTHESIS	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-MULVECLIN-MAIN	EXT-REF-MATHLIB-009	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-INTERIOR-LINEAR-MAP	MathlibMatrixToLinFabf563a	\texttt{Matrix.mulVecLin}; \texttt{Matrix.mulVecLin\_apply}	API_REUSE	false	Records the exact bundled matrix action used by the kernel-verified finite-linear proof.	A matrix over a commutative semiring acts as a bundled linear map by row-by-column multiplication.	The original rational K_II block is square and Fin-indexed.	PROOF_API_USED_FINITE_LINEAR_WELL_POSEDNESS	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-MULVECLIN-SUPP	EXT-REF-MATHLIB-009	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-INTERIOR-LINEAR-MAP-SUPP	MathlibMatrixToLinFabf563a	Matrix.mulVecLin; Matrix.mulVecLin_apply; pinned source commit fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	API_REUSE	false	Documents the exact bundled matrix action used by the kernel-verified finite-linear proof.	The selected API packages the original matrix-vector action as a rational linear map.	Fin interior is finite, and the scalar ring is the commutative field ℚ.	PROOF_API_USED_FINITE_LINEAR_WELL_POSEDNESS	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-LEAN-SUBSINGLETON-MAIN	EXT-REF-LEAN-006	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-PROOF-WITNESS-UNIQUENESS	LeanInitCore431	Subsingleton.elim declaration; Lean 4.31.0 Init.Core	FORMALIZATION_GUIDANCE	false	Proof-witness irrelevance used in the supporting M004 uniqueness theorem.	Any two inhabitants of a subsingleton type are equal.	PositiveSteering value is a proposition; equality is used only to align proof arguments before applying Core birthLaw_unique.	GUIDANCE_ONLY_INTERNAL_PROOF_TERM	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-LEAN-SUBSINGLETON-SUPP	EXT-REF-LEAN-006	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-PROOF-WITNESS-UNIQUENESS-SUPP	LeanInitCore431	Subsingleton.elim declaration; Lean 4.31.0 Init.Core	FORMALIZATION_GUIDANCE	false	Official Core API used to align proposition-valued positivity witnesses.	Subsingleton.elim identifies any two proofs inhabiting the same proposition.	No new CNNA hypothesis; proof witness equality is erased from the model contract.	GUIDANCE_ONLY_INTERNAL_PROOF_TERM	CURRENT_DIRECT_PLACEMENT
EXT-USE-OPS-PECHUKAS-MAIN	EXT-REF-OPS-PECHUKAS-001	OPS	Conceptual scope	MAIN_TEX	derivation/paper/main/OPEN_PROVENANCE_FRAMEWORK.tex	OPS-PECHUKAS-MAIN	Pechukas1994ReducedDynamics	principal result	SPECIALIZATION_CONTEXT	false	Initial correlations and assignment-map qualification of reduced dynamics.	Initial correlations and assignment-map qualification of reduced dynamics.	Context for later specialization; no finite CNNA theorem imports this source.	INTERPRETIVE_SPECIALIZATION_CONTEXT_NOT_IMPORTED_AS_AXIOM	CURRENT_DIRECT_PLACEMENT
EXT-USE-OPS-PECHUKAS-SUPP	EXT-REF-OPS-PECHUKAS-001	OPS	Conceptual scope	SUPPLEMENT_MD	derivation/registry/documentation/OPEN_PROVENANCE_FRAMEWORK.md	OPS-PECHUKAS-SUPP	Pechukas1994ReducedDynamics	principal result	SPECIALIZATION_CONTEXT	false	Initial correlations and assignment-map qualification of reduced dynamics.	Initial correlations and assignment-map qualification of reduced dynamics.	Context for later specialization; no finite CNNA theorem imports this source.	INTERPRETIVE_SPECIALIZATION_CONTEXT_NOT_IMPORTED_AS_AXIOM	CURRENT_DIRECT_PLACEMENT
EXT-USE-OPS-POLLOCK-MAIN	EXT-REF-OPS-POLLOCK-001	OPS	Conceptual scope	MAIN_TEX	derivation/paper/main/OPEN_PROVENANCE_FRAMEWORK.tex	OPS-POLLOCK-MAIN	Pollock2018NonMarkovianProcesses	Abstract and process-tensor construction	SPECIALIZATION_CONTEXT	false	Operational multi-time memory and process statistics.	Operational multi-time memory and process statistics.	Context for later specialization; no finite CNNA theorem imports this source.	INTERPRETIVE_SPECIALIZATION_CONTEXT_NOT_IMPORTED_AS_AXIOM	CURRENT_DIRECT_PLACEMENT
EXT-USE-OPS-POLLOCK-SUPP	EXT-REF-OPS-POLLOCK-001	OPS	Conceptual scope	SUPPLEMENT_MD	derivation/registry/documentation/OPEN_PROVENANCE_FRAMEWORK.md	OPS-POLLOCK-SUPP	Pollock2018NonMarkovianProcesses	Abstract and process-tensor construction	SPECIALIZATION_CONTEXT	false	Operational multi-time memory and process statistics.	Operational multi-time memory and process statistics.	Context for later specialization; no finite CNNA theorem imports this source.	INTERPRETIVE_SPECIALIZATION_CONTEXT_NOT_IMPORTED_AS_AXIOM	CURRENT_DIRECT_PLACEMENT
EXT-USE-OPS-DAVIESLEWIS-MAIN	EXT-REF-OPS-DAVIESLEWIS-001	OPS	Conceptual scope	MAIN_TEX	derivation/paper/main/OPEN_PROVENANCE_FRAMEWORK.tex	OPS-DAVIESLEWIS-MAIN	DaviesLewis1970OperationalQuantumProbability	operational instrument framework	SPECIALIZATION_CONTEXT	false	Outcome probabilities and outcome-conditioned state updates.	Outcome probabilities and outcome-conditioned state updates.	Context for later specialization; no finite CNNA theorem imports this source.	INTERPRETIVE_SPECIALIZATION_CONTEXT_NOT_IMPORTED_AS_AXIOM	CURRENT_DIRECT_PLACEMENT
EXT-USE-OPS-DAVIESLEWIS-SUPP	EXT-REF-OPS-DAVIESLEWIS-001	OPS	Conceptual scope	SUPPLEMENT_MD	derivation/registry/documentation/OPEN_PROVENANCE_FRAMEWORK.md	OPS-DAVIESLEWIS-SUPP	DaviesLewis1970OperationalQuantumProbability	operational instrument framework	SPECIALIZATION_CONTEXT	false	Outcome probabilities and outcome-conditioned state updates.	Outcome probabilities and outcome-conditioned state updates.	Context for later specialization; no finite CNNA theorem imports this source.	INTERPRETIVE_SPECIALIZATION_CONTEXT_NOT_IMPORTED_AS_AXIOM	CURRENT_DIRECT_PLACEMENT
EXT-USE-OPS-CHIRIBELLA-MAIN	EXT-REF-OPS-CHIRIBELLA-001	OPS	Conceptual scope	MAIN_TEX	derivation/paper/main/OPEN_PROVENANCE_FRAMEWORK.tex	OPS-CHIRIBELLA-MAIN	Chiribella2009QuantumNetworks	quantum-network and comb framework	SPECIALIZATION_CONTEXT	false	Compositional multi-step quantum specialization.	Compositional multi-step quantum specialization.	Context for later specialization; no finite CNNA theorem imports this source.	INTERPRETIVE_SPECIALIZATION_CONTEXT_NOT_IMPORTED_AS_AXIOM	CURRENT_DIRECT_PLACEMENT
EXT-USE-OPS-CHIRIBELLA-SUPP	EXT-REF-OPS-CHIRIBELLA-001	OPS	Conceptual scope	SUPPLEMENT_MD	derivation/registry/documentation/OPEN_PROVENANCE_FRAMEWORK.md	OPS-CHIRIBELLA-SUPP	Chiribella2009QuantumNetworks	quantum-network and comb framework	SPECIALIZATION_CONTEXT	false	Compositional multi-step quantum specialization.	Compositional multi-step quantum specialization.	Context for later specialization; no finite CNNA theorem imports this source.	INTERPRETIVE_SPECIALIZATION_CONTEXT_NOT_IMPORTED_AS_AXIOM	CURRENT_DIRECT_PLACEMENT
EXT-USE-P002-WORDS-MAIN	EXT-REF-WORDS-001	P002	1.1.6.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure/SECTION.tex	P002-LEXICOGRAPHIC-WORD-ORDER	Lothaire1997CombinatoricsWords	Ch.~1, finite words and lexicographic order	ESTABLISHED_METHOD_CONTEXT	false	Lexicographic order of finite provenance words is standard; P002 proves the CNNA strict-total closure internally.	Finite words over an ordered alphabet carry the standard lexicographic ordering.	C003 supplies finite address words; C018 adds the depth-first disjunction and slot projection.	CONTEXT_ONLY_INTERNAL_KERNEL_VERIFIED	CURRENT_DIRECT_PLACEMENT
EXT-USE-P002-WORDS-SUPP	EXT-REF-WORDS-001	P002	1.1.6.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure/DOCUMENTATION.md	P002-LEXICOGRAPHIC-WORD-ORDER-SUPP	Lothaire1997CombinatoricsWords	Ch. 1, finite words and lexicographic order	ESTABLISHED_METHOD_CONTEXT	false	Standard finite-word lexicographic context for the P002 static order theorem.	Lexicographic word order is standard; CNNA-specific closure remains internally proved.	No external theorem is assumed in Lean.	CONTEXT_ONLY_INTERNAL_KERNEL_VERIFIED	CURRENT_DIRECT_PLACEMENT
EXT-USE-P002-LEAN-LISTLEX-MAIN	EXT-REF-LEAN-007	P002	1.1.6.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure/SECTION.tex	P002-LEAN-LISTLEX	LeanListLex431	List.Lex and decidableLex in Init/Data/List/Basic.lean, Lean v4.31.0	FORMALIZATION_GUIDANCE	false	C018 uses Lean Core List.Lex; no mathlib import is required in CNNA Core.	Lean Core defines List.Lex with nil, rel and cons constructors and supplies decidability under DecidableEq/DecidableRel assumptions.	Implementation API only; all P002 mathematical claims are kernel-proved internally.	GUIDANCE_ONLY_KERNEL_VERIFIED_NO_CORE_MATHLIB	CURRENT_DIRECT_PLACEMENT
EXT-USE-P002-LEAN-LISTLEX-SUPP	EXT-REF-LEAN-007	P002	1.1.6.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure/DOCUMENTATION.md	P002-LEAN-LISTLEX-SUPP	LeanListLex431	List.Lex and decidableLex, Init/Data/List/Basic.lean at v4.31.0	FORMALIZATION_GUIDANCE	false	Pins the exact Lean Core API underlying C018 address lexicography.	The tagged Lean source defines the relation and its constructor/decidability interface.	No mathematical premise imported; source identity only.	GUIDANCE_ONLY_KERNEL_VERIFIED_NO_CORE_MATHLIB	CURRENT_DIRECT_PLACEMENT
