ID	Object	Layer	Canonical CNNA definition	Natural provenance	Computed from	ExecComplex/computable path	Object status	Code status	Current code modules / derivation site	Neutral target location / canonical API	Pillar-A access	Handoff rights	May be consumed by	Priority	Phase	Proof documentation status	Proof dossier	Context class	Significance tier	Documentation depth requirement	Object lifecycle state	Lifecycle predecessor object(s)	Lifecycle successor/current object	Lifecycle note	Current dossier pointer	Change version	Change timestamp	Change class	Change note
SP0	Eigenvalue profile	Spectral	FiniteSpectrumProfile.	Exec matrix / charpoly. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Matrix, polynomial.	General algebraic eigenvalues are mirror-only. Operational spectral path carries charpoly/coefficients/discriminants/gaps or other rational/integer certificates unless algebraic values are confined to mirror.	Y	present as source/seed; derivation still to be canonicalized; EXEC-2 mirror-boundary decision recorded	CNNA/PillarA/Finite/ExecSpectral/CharpolyCore.lean; CNNA/PillarA/Finite/ExecSpectral/EigenvectorKernel.lean; CNNA/PillarA/Finite/SpectralBridge.lean	CNNA/PillarA/Schur/Eigenvalueprofile.lean	A-internal after matrix.	A->B maybe as spectral data only if specified; A->C/E.	Heat kernel, gaps.; v37 Path B consumers	medium	10.1	no	proof:SP0	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:SP0				
SP1	Spectral gap	Spectral	SpectralGapProfile.	FiniteSpectrumProfile. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Eigenvalues/order.	Needs comparison/order; operational if finite exact/approx bridge.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Graph/SpectralGapSeed.lean; CNNA/PillarA/Finite/ExecSpectral/Certificates.lean	CNNA/PillarA/Schur/Spectralgap.lean	A-internal.	A->B/D only as allowed profile.	Dynamics, UV cut.; v37 Path B consumers	medium	10.1	no	proof:SP1	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:SP1				
P00	Operator algebra	AQFT/finite	OperatorAlgebraProfile.	Carrier + matrix algebra + star. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Boundary matrix.	Matrix algebra over ExecComplex; C-mirror later.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Foundation/MatrixAlgebra.lean; CNNA/PillarA/Finite/StateSpace.lean	CNNA/PillarB/Derived/OperatorAlgebraFromA.lean	A-internal as profile; B consumes output.	A->B allowed after bridge; A cannot reimport.	B bright, finite seeds.; v37 Path B consumers	medium	10.2	no	proof:P00	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P00				
P01	Star operation	AQFT/finite	StarOperationProfile.	ExecComplex conjugation + matrix transpose. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Matrix algebra.	Computable over ExecComplex if conjugation defined.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Foundation/ExecComplex.lean; CNNA/PillarA/Foundation/HermitianStructure.lean; CNNA/PillarA/Foundation/MatrixAlgebra.lean	CNNA/PillarA/Physics/Staroperation.lean	A-internal.	A->B part of operator algebra.	State positivity, KMS.; v37 Path B consumers	medium	10.2	no	proof:P01	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P01				
P02	State functional	AQFT/finite	StateFunctionalProfile.	Trace/Gibbs from operator profile. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Matrix, weights.	Finite trace operational; positivity maybe mirror/proof.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Finite/StateSpace.lean	CNNA/PillarA/Physics/Statefunctional.lean	A-internal/far.	A->B after derivation.	GNS/KMS.; v37 Path B consumers	medium	10.2	no	proof:P02	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P02				
P03	Gibbs state	AQFT/finite	GibbsStateProfile.	Matrix exponential seed. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	H, beta.	Exp not purely ExecComplex unless truncated/seed; mirror boundary.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Finite/GibbsStateSeed.lean	CNNA/PillarA/Physics/Gibbsstate.lean	A-internal/far.	A->B/D.	KMS, dynamics.; v37 Path B consumers	medium	10.2	no	proof:P03	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P03				
P04	Time evolution	AQFT/dynamics	TimeEvolutionProfile.	Operator + regime. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	H, t.	Finite approximations; exp mirror.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Finite/MatrixExponential.lean; CNNA/PillarA/Finite/UnitaryEvolution.lean; CNNA/PillarA/Finite/DynamicsAdapter.lean	CNNA/PillarA/Physics/Timeevolution.lean	A-internal/far.	A->D/B.	unitarity/open dynamics.; v37 Path B consumers	medium	10.2	no	proof:P04	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P04				
P05	Unitarity certificate	AQFT/dynamics	UnitarityCertificate.	Time evolution + noOuter. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	H, star, state.	Matrix identities operational if finite exact.	Y	present, but incomplete/non-canonical	CNNA/PillarA/Finite/UnitaryEvolution.lean (finite seed; regime split still pending)	CNNA/PillarA/Physics/Unitaritycertificate.lean	A-internal after noOuter.	A->B/D.	closed branch theorem.; v37 Path B consumers	medium	10.2	no	proof:P05	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P05				
P06	Open channel / effective openness	OQS/dynamics	OpenChannelProfile.	Regime hasOuter + complement effects. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Boundary operator + environment profile.	Krfrom/Lindblad only if derived; Exec matrices if finite.	R	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Finite/ChannelSeed.lean; CNNA/PillarA/Network/SectorChannels.lean	CNNA/PillarA/Physics/Openchanneleffectiveopenness.lean	A-internal after hasOuter; no stochastic input.	A->D/B as effective data.	OQS consumer.; v37 Path B consumers	medium	10.2	no	proof:P06	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P06				
N16	Dirichlet L-function L(s,chi_D)	Analytic number theory	LFunctionProfile.	CharacterProfile + analytic layer. v37: analytic far target in Path A, not a source for finite spectral/physical Path B.	chi_D.	Finite truncations operational; exact analytic object mirror.	K	missing in code	no current module	CNNA/PillarA/NumberTheory/DirichletLfunctionLschiD.lean	A-internal far target; not immediate.	A->E only after analytic bridge.	Class number formula.	low	9.2	no	proof:N16	ReferenceGateObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:N16				
N17	Class number formula	Analytic number theory	ClassNumberFormulaProfile.	LFunction + unit group + D. v37: analytic far target in Path A, not a source for finite spectral/physical Path B.	chi_D, units, D_fund.	Approximation only operational; theorem analytic.	K	missing in code	no current module	CNNA/PillarA/NumberTheory/Classnumberformula.lean	Far target; not a source for early h(D).	A->E optional.	Consistency.	low	9.3	no	proof:N17	ReferenceGateObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:N17				
L08	Theta series Theta_Lambda	Modular forms/geometry	ThetaSeriesProfile.	Lattice + norm form.	Norm form over lattice.	Truncated coefficients operational; full series formal/mirror.	K	missing in code	no current theta-series module	CNNA/PillarA/Geometry/ThetaseriesThetaLambda.lean	Far target but registered.	A->C/E only after profile.	Prime/norm statistics.	low	9.1	no	proof:L08	ReferenceGateObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:L08				
M00	Modular group action SL2Z	Modular forms	ModularActionProfile.	Upper half-plane + integer matrices. v37: retained in modular/CM Path A.	tau.	Action formulas operational for finite transformations.	K	missing in code	no current modular-action module	CNNA/PillarA/Modular/ModulargroupactionSL2Z.lean	Far target.	A->C.	j invariance, fundamental domain.	low	8.0	no	proof:M00	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:M00				
M01	Fundamental domain representative	Modular forms	FundamentalDomainProfile.	ModularActionProfile. v37: retained in modular/CM Path A.	tau + reduction algorithm/proof.	Algorithmic reduction possible.	K	missing in code	no current fundamental-domain module	CNNA/PillarA/Modular/Fundamentaldomainrepresentative.lean	Far target.	A->C/E.	j comparison.	low	8.0	no	proof:M01	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:M01				
M06	q-expansion of j	Modular forms	JQExpansionProfile.	tau/q. v37: retained in modular/CM Path A.	q=exp(2pi i tau).	Truncated coefficients operational if q path exists; exact series formal.	K	missing in code	no current q-expansion module	CNNA/PillarA/Modular/qexpansionofj.lean	Far target.	A->E/report.	j computation consistency.	low	8.8	no	proof:M06	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:M06				
M07	Hilbert class polynomial H_D	CM	HilbertClassPolynomialProfile.	Class group + j-values. v37: retained in modular/CM Path A.	Cl(O_D), j.	Polynomial coefficients operational if constructed.	K	missing in code	no current Hilbert-class-polynomial module	CNNA/PillarA/Modular/HilbertclasspolynomialHD.lean	Far target.	A->C/E.	class field consistency.	low	8.8	no	proof:M07	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:M07				
TM0	Transfermatrix T_k	Schur algebra	TransferMatrixProfile.	Schur recurrence. v37: moved to Schur/transfer Path B and late BR08 bridge, not modular-form path.	Local recursion step.	Entries operational in polynomial/ring representation.	K	present, but incomplete/non-canonical	CNNA/PillarA/Arithmetic/Schur/MobiusTransfer.lean (anchor/status only); CNNA/PillarA/Arithmetic/Schur/Recurrence.lean; no full M2(Z[lambda]) proof	CNNA/PillarA/Transfer/TransfermatrixTk.lean	A-internal far target; not needed for immediate wrapper.	A->E only after proof.	Schur theory explanation.; BR08 horizontal/vertical Schur-duality bridge	low	10.4	no	proof:TM0	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:TM0				
TM1	Transfermatrix product	Schur algebra	TransferProductProfile.	TransferMatrixProfile. v37: moved to Schur/transfer Path B and late BR08 bridge, not modular-form path.	Trace/fold/product.	Operational finite product.	K	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Schur/MobiusTransfer.lean (no product formalization)	CNNA/PillarA/Transfer/Transfermatrixproduct.lean	Far target.	A->E.	charpoly connection.; BR08 horizontal/vertical Schur-duality bridge	low	10.4	no	proof:TM1	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:TM1				
TM2	Moebius/continued fraction relation	Schur algebra	MobiusSchurProfile.	Transfermatrix. v37: moved to Schur/transfer Path B and late BR08 bridge, not modular-form path.	T_k action.	Operational finite map.	K	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Schur/MobiusTransfer.lean (route/status; no theoremically complete Moebius-chain)	CNNA/PillarA/Transfer/Moebiuscontinuedfractionrelation.lean	Far target.	A->E.	Theoretical bridge.; BR08 horizontal/vertical Schur-duality bridge	low	10.4	no	proof:TM2	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:TM2				
SP2	Heat kernel K(t)	Spectral geometry	HeatKernelProfile.	Spectrum/operator. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Eigenvalues or matrix exponential seed.	Finite approximations operational; real exp mirror.	K	missing in code	no current heat-kernel module; MatrixExponential is related but not HeatKernelProfile	CNNA/PillarA/Schur/HeatkernelKt.lean	Far target.	A->D/E.	Spectral dimension.; v37 Path B consumers	low	10.3	no	proof:SP2	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:SP2				
SP3	Spectral zeta zeta_H	Spectral geometry	SpectralZetaProfile.	Spectrum. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	Eigenvalues.	Analytic object; finite/truncated operational.	K	missing in code	no current spectral-zeta module	CNNA/PillarA/Schur/SpectralzetazetaH.lean	Far target.	A->E.	regularized determinant.; v37 Path B consumers	low	10.3	no	proof:SP3	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:SP3				
SP4	Spectral dimension	Spectral geometry	SpectralDimensionProfile.	HeatKernelProfile + limit. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	K(t).	Limit/mirror; finite estimator operational.	K	missing in code	no current spectral-dimension module	CNNA/PillarA/Schur/Spectraldimension.lean	Far target.	A->D/E.	physical interpretation.; v37 Path B consumers	low	10.3	no	proof:SP4	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:SP4				
SP5	Zeta-regularized determinant	Spectral geometry	ZetaDeterminantProfile.	SpectralZetaProfile. v37: placed on independent spectral/physical Path B after Phase 4.1, not behind modular/j path.	zeta_H.	Analytic mirror; finite determinant operational.	K	missing in code	no current zeta-regularized determinant module	CNNA/PillarA/Schur/Zetaregularizeddeterminant.lean	Far target.	A->E.	consistency.; v37 Path B consumers	low	10.3	no	proof:SP5	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:SP5				
P07	KMS condition	Pillar B AQFT	KMSProfile.	State + time evolution.	State, dynamics.	Analytic strip not Exec; finite checks/truncations operational.	K	missing in code	no current KMS proof module; GibbsStateSeed is prerequisite only	CNNA/PillarA/Physics/KMScondition.lean	A may consume only if returned through explicit B->A input; never from A->B output.	B internal / possible B->A output only after explicit gate.	B.	low	13.4	no	proof:P07	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P07				
P08	GNS Hilbert space	Pillar B AQFT	GNSProfile.	State functional.	Algebra quotient/completion.	Finite quotient operational; completion mirror.	K	missing in code	no current GNS module	CNNA/PillarA/Physics/GNSHilbertspace.lean	A may consume only if returned through explicit B->A input; never from A->B output.	B internal / possible B->A output only after explicit gate.	Tomita.	low	13.4	no	proof:P08	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P08				
P09	Tomita operator S	Pillar B AQFT modular	TomitaOperatorProfile.	GNS + star.	GNS state algebra.	Finite matrix profile possible; closure analytic.	K	missing in code	no current Tomita module	CNNA/PillarA/Physics/TomitaoperatorS.lean	A may consume only if returned through explicit B->A input; never from A->B output.	B internal / possible B->A output only after explicit gate.	Delta,J.	low	13.5	no	proof:P09	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P09				
P10	Modular operator Delta	Pillar B AQFT modular	ModularOperatorProfile.	Tomita S.	S.	Finite matrix possible; analytic layer.	K	missing in code	no current modular-operator module	CNNA/PillarA/Physics/ModularoperatorDelta.lean	A may consume only if returned through explicit B->A input; never from A->B output.	B internal / possible B->A output only after explicit gate.	KMS/CPT.	low	13.5	no	proof:P10	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P10				
P11	Modular conjugation J	Pillar B AQFT modular	ModularConjugationProfile.	Tomita-Takesaki.	S, Delta.	Not direct Exec; finite mirror only if polar decomposition derived.	K	missing in code	no current modular-conjugation module	CNNA/PillarA/Physics/ModularconjugationJ.lean	A may consume only if returned through explicit B->A input; never from A->B output.	B internal / possible B->A output only after explicit gate.	CPT, spin-statistics.	low	13.5	no	proof:P11	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P11				
P12	Bisognano-Wichmann/CPT bridge	Pillar B AQFT	CPTBridgeProfile.	Modular J + spacetime/wedge data.	J, local net, geometry.	Analytic/geometric, not pure Exec.	K	missing in code	no current BW/CPT module	CNNA/PillarA/Physics/BisognanoWichmannCPTbridge.lean	A may consume only if returned through explicit B->A input; never from A->B output.	B internal / possible B->A output only after explicit gate.	CPT.	low	13.6	no	proof:P12	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P12				
P13	Spin-statistics	Pillar B AQFT	SpinStatisticsProfile.	Modular + redations.	J, covariance, redations.	Not Exec except finite symmetry shadows.	K	missing in code	no current spin-statistics module	CNNA/PillarA/Physics/Spinstatistics.lean	A may consume only if returned through explicit B->A input; never from A->B output.	B internal / possible B->A output only after explicit gate.	physics consistency.	low	13.6	no	proof:P13	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P13				
P14	Kramers degeneracy	Pillar B Physics	KramersProfile.	Time reversal + state/symmetry.	Antiunitary T, spectrum.	Finite spectral shadows possible.	K	missing in code	no current Kramers module	CNNA/PillarA/Physics/Kramersdegeneracy.lean	A may consume only if returned through explicit B->A input; never from A->B output.	B internal / possible B->A output only after explicit gate.	physics tests.	low	13.6	no	proof:P14	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P14				
P15	Split property	Pillar B AQFT	SplitPropertyProfile.	Operator algebra + collar/regime.	Local net, inclusion.	Finite type-I checks operational; full split analytic.	K	present, but incomplete/non-canonical	CNNA/PillarA/Sectors/SectorSplit.lean; Handoff has split fields; AQFT split property not derived	CNNA/PillarA/Physics/SplitProperty.lean	A may consume only if returned through explicit B->A input; never from A->B output.	B internal / possible B->A output only after explicit gate.	AQFT consistency.	low	13.6	no	proof:P15	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P15				
P16	Local net / Haag-Kastler algebraic axioms	Pillar B AQFT	LocalNetProfile.	RegionNet + operator algebra.	Regions, inclusions, operators.	Finite net operational; spacetime axioms need C/D.	K	missing in code	no current local-net/HK module; legacy target only	CNNA/PillarA/Physics/LocalnetHaagKastleralgebraicaxioms.lean	A may consume only if returned through explicit B->A input; never from A->B output.	B internal / possible B->A output only after explicit gate.	AQFT branch.	low	13.3	no	proof:P16	LeanTargetObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:P16				
H10	A->B bright handoff	Handoff policy	AToBBrightOutputProfile.	A operational boundary profile.	Omega, L, regime, operator; no hidden complement.	ExecComplex operator may be included; B may mirror to C.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Handoff/Outputs/A_to_B.lean; CNNA/PillarA/Handoff/Core/Step1MathData.lean; CNNA/PillarA/Handoff/Core/SectorExport.lean	CNNA/PillarA/Handoff/Outputs/A_to_B.lean	A forbidden to consume own A->B output.	A->B output only.	Pillar B bright consumer.	high	11.1	no	proof:H10	LeanHandoffContractObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:H10				
H11	A->B prime/dark future handoff	Handoff policy	AToBDarkOutputProfile.	A complement profile; separate from bright.	Dark/complement data.	Likely not finite Exec-only; must specify.	R	missing in code	no current dark/B-prime handoff module	CNNA/PillarA/Handoff/ABprimedarkfuturehandoff.lean	A forbidden to consume; not current B.	A->B prime output only, future.	Pillar B prime.	low	11.2	no	proof:H11	LeanHandoffContractObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:H11				
H12	A->C handoff	Handoff policy	AToCOutputProfile.	A arithmetic/geometric Profile.	Carrier, lattice, Gram, tau, regime as allowed.	ExecComplex mirrors for coordinates where available.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Handoff/Outputs/A_to_C.lean	CNNA/PillarA/Handoff/AChandoff.lean	A forbidden to consume own A->C output.	A->C output.	Pillar C.	medium	11.3	no	proof:H12	LeanHandoffContractObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:H12				
H13	A->D handoff	Handoff policy	AToDOutputProfile.	Operator/regime/spectral Profile.	Boundary operator, state seeds, regime.	Exec matrices; time evolution maybe mirror/analytic.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Handoff/Outputs/A_to_D.lean	CNNA/PillarA/Handoff/ADhandoff.lean	A forbidden to consume own A->D output.	A->D output.	Pillar D.	medium	11.4	no	proof:H13	LeanHandoffContractObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:H13				
H14	A->E handoff	Handoff policy	AToEOutputProfile.	Arithmetic/theory register Profile.	D, CM, class data, j, etc.	Exec mirrors where present.	K	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Handoff/Outputs/A_to_E.lean	CNNA/PillarA/Handoff/AEhandoff.lean	A forbidden to consume own A->E output.	A->E output.	Pillar E.	low	11.5	no	proof:H14	LeanHandoffContractObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:H14				
MOON0	j coefficient stream	Moonshine/established math	CNNA-derived q-expansion coefficient stream of j after j is derived.	q-expansion of j; modular forms chain.	M06 q-expansion object.	Computable only after q-expansion representation; may require mirror arithmetic for infinite series.	K	missing; not in SM9h code	no current Lean module	CNNA/PillarA/Arithmetic/Moonshine/JCoefficientStream.lean	A-internal after modular-form prerequisites; not a source for earlier A.	May be exported only as comparison output after derivation.	Moonshine comparison side consumers.	low	12.1	no	proof:MOON0	ReferenceGateObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:MOON0				
MOON1	Monster dimension comparison profile	Moonshine/established math	Comparison profile between derived j coefficients and established Monster representation dimensions.	j coefficient stream plus external established Monster data as comparison target only.	MOON0 plus external established Monster representation dimension data as comparison target only; no reverse dependency into j derivation.	Comparison layer; no Exec path into foundation.	K	missing; not in SM9h code	no current Lean module	CNNA/PillarA/Arithmetic/Moonshine/MonsterComparison.lean	A may compare after derivation; may not consume as source.	External comparison only.	Moonshine comparison; documentation.	low	12.2	no	proof:MOON1	ReferenceGateObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:MOON1				
MOON2	McKay-Thompson comparison profile	Moonshine/established math	Comparison-only profile for McKay-Thompson series.	Moonshine comparison layer after j/q data.	MOON0 and optional external named McKay-Thompson/Hauptmodul series as targets.	Comparison-only; no foundation Exec source.	K	missing; not in SM9h code	no current Lean module	CNNA/PillarA/Arithmetic/Moonshine/McKayThompsonComparison.lean	A may not import it into core derivation.	External comparison only.	Moonshine comparison side target.	low	12.3	no	proof:MOON2	ReferenceGateObject	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:MOON2				
B00	Pillar B input contract from A	Pillar B QFT	B consumes exactly the A->B bright handoff and nothing else.	A->B handoff H10.	H10; exported boundary/operator/regime profiles.	Exec data only if exported in A->B profile.	K	PillarB namespace empty in SM9h; handoff source exists in A	CNNA/PillarB/BuildAll.lean; CNNA/PillarA/Handoff/Outputs/A_to_B.lean	CNNA/PillarB/Handoff/BInputFromA.lean	A cannot consume this; B consumes A->B.	A->B output consumed by B; B->A only via explicit input.	Pillar B QFT/AQFT modules.	medium	13.1	no	proof:B00	LeanHandoffContractObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:B00				
