Workflow	Trigger	Required input	Required updates	Exit rule	Change version	Change timestamp	Change class	Change note
Object deletion or retirement lifecycle workflow	An object/declaration/module is removed from Lean or planning, or intentionally retired as no longer needed.	Removed object ID, deletion/retirement phase, deletion evidence, reason, downstream consumers, replacement object if any, snapshot/version timestamps.	Retain the object row with Object lifecycle state deleted-retired, keep its dossier, fill successor if a replacement exists or explain terminal retirement in Lifecycle note, and create migration/blocker tasks for affected consumers.	The object no longer appears as current in Explorer projections but remains visible in history/provenance queries; successor chains terminate in a current object or explicit terminal retirement.				
Phase patch-link workflow	A later correction/refactor/patch changes or replaces an object that was produced or consumed by an earlier phase.	Old phase ID, new patch/successor phase ID, affected objects, reason for patch, version/timestamp evidence and migration obligations.	Never mark the old phase outdated. Keep it as a historical implementation event; link the new phase to the old phase via patch/successor relation in phase notes, object lifecycle rows and scratchpad/dossier references.	Both phases remain independently queryable; the new phase explains the correction and the old phase remains part of historical provenance without being treated as current object validity.				
Dossier and scratchpad ownership workflow	A question arises whether evidence belongs under a phase scratchpad, object dossier, lifecycle ledger or generated history entry.	Entity type, evidence type, target object/phase IDs, version/timestamp and whether the evidence describes implementation execution, object validity, lifecycle migration or generated diff history.	Store implementation process evidence in the phase scratchpad; store object validity/proof evidence in the object dossier; store patch/rename/delete/supersession evidence in object lifecycle fields and lifecycle ledger; store snapshot diffs in history records. Cross-link rather than duplicate or overwrite.	Generated views can reconstruct both the historical implementation path and the current object state without contradiction.				
Lean declaration total-classification workflow	Phase 21.0, LEG37, Explorer schema work or any public API/refactor phase needs to claim that the current Lean declaration surface is fully understood.	Current Lean snapshot timestamp, lean toolchain version, repo_inventory/raw_export, declaration_consumption_records.generated.tsv, object register, proof dossiers, lifecycle ledger and direct source scan evidence.	For every Lean declaration, record exactly one declaration_kind, semantic_role, triviality_tier, significance/documentation policy, lifecycle_state, public_surface_status and owning CNNA object or explicit non-object bucket. Unknown/manual-review values may be stored only as open blockers with natural-origin follow-up action.	LEG37/CEX0/21.0 may close only when all declarations have total classification or every unresolved declaration is explicitly routed to a red/orange upstream phase; consumption class alone never suffices.				
Lean declaration triviality override workflow	An automatic scanner marks a declaration trivial/nontrivial based on rfl, projection shape, theorem/structure keyword, module path or consumer count.	Automatic candidate label, proof/body/consumer evidence, source object or owner bucket, handoff/boundary/API relevance and manual reviewer note when the automatic label is overridden.	Store both the automatic candidate and the curated final triviality/significance/documentation decision. In particular, rfl/projection declarations that encode handoff, boundary or fundamental definitional contracts may be promoted; ledger/status structures may be demoted when they carry no mathematical payload.	Explorer and proofbook views render the curated final class plus override reason when present; no heuristic-only triviality class may release a declaration to public-final or exclude it from required documentation.				
Lean declaration owner-bucket and lifecycle workflow	A declaration is added, patched, renamed, deleted, retired, superseded, or cannot be attached to a registered object.	Declaration name, module path, previous/current snapshot IDs, object/dossier candidate, successor/predecessor relation if any, reason for non-object bucket if not owned by a CNNA object, and public-surface status.	Attach the declaration to exactly one owning object or explicit non-object bucket, assign lifecycle state, preserve old names as historical rows when renamed/deleted/retired, and update successor/current pointers without overwriting old evidence.	Generated history can reconstruct both current declaration state and original provenance; lifecycle/successor chains remain acyclic and no active consumer points to a deleted-retired or superseded declaration except through an explicit historical/facade edge.				
Original roadmap integration workflow	An uploaded legacy/original roadmap contains content not yet represented in the Single-YAML-Master planning state.	Roadmap source file, current master YAML, object register, phase table, scratchpads, dossiers, external-source cross-check, guardrails and lifecycle records.	Copy the source into archive/source_materials when useful; add only missing source hierarchy, gate, chain, migration, de-seeding, register, context or future-target obligations. Route accepted items to explicit phases/objects/dossiers/cross-check rows; mark rejected/deferred items by reason. Do not import roadmap claims as axioms or checked Lean facts.	Every accepted roadmap obligation has a phase/object/dossier/cross-check row or an explicit no-action reason; Lean code remains unchanged unless a separate implementation phase is executed.				
De-seeding and old-path regression workflow	A Seed, Scaffold, Window, Boundary-first or legacy module is proposed for current canonical API or de-seeded naming.	Source map, derived-only gate evidence, notation/readability binding, free-parameter audit, old-path regression oracle, importgraph cycle check, rollback snapshot and affected object lifecycle rows.	Create/close the natural source-map gate before renaming; keep old object/module as regression or lifecycle-retired provenance; update object lifecycle/dossiers and module manifest; do not patch the consumer phase.	The new current object has source-map and gate evidence; the old path remains queryable; importgraph is acyclic; rollback snapshot exists; no free legacy parameter remains hidden.				
Roadmap chain-sheet to phase/object workflow	A roadmap chain sheet identifies a multi-step dependency path such as modular B core, ParameterClosure or D/E bridge.	Chain definitions, prerequisites, proof/claim text, target modules, current plan coverage and missing source objects.	Represent the chain as a phase/object/gate group with explicit predecessor order; add guardrails where shortcuts are forbidden; mark as reference-only until CNNA source objects close.	The chain is visible in phase order, object register, cross-check rows and scratchpad obligations without implying that the chain is already proved.				
REALOQS legacy code scan workflow	A legacy REALOQS source archive is uploaded or re-scanned.	versioned source archive; scan timestamp; current planning package; target focus such as AQFT/PillarB	Archive source, generate module/declaration metrics, record noncomputable/simp/sorry scan, add external-source rows, update RLC ledgers and lifecycle pointers.	A scan report exists and every accepted finding is routed to reference/migration ledgers, not to CNNA truth.				
REALOQS AQFT migration-disposition workflow	A legacy AQFT declaration/module is considered for CNNA reuse.	legacy module path; declaration list; dependency/import context; current CNNA source objects and handoff contract	Classify as target-profile, semantic-rewrite, mathlib replacement, regression-only, direct-port-forbidden, reject/defer; update object dossier and phase gate.	No implementation starts until each accepted target has a CNNA source-map, neutral target module and forbidden-dependency audit.				
REALOQS declaration crosswalk workflow	Legacy declarations need Explorer visibility or migration analysis.	RLC0 scan data, CEX11 taxonomy, current CNNA declaration inventory, lifecycle ledger	Map each legacy declaration to owner bucket, semantic role, target CNNA object/phase or reject/defer bucket; mark lifecycle and edge type as legacy/reference.	Explorer may show the legacy node only if its non-CNNA epistemic status and edge semantics are explicit.				
Legacy regression-harness extraction workflow	A REALOQS example/meta proof is useful as a future test.	legacy example/meta module, target CNNA phase, expected old behavior, source-map risk	Create regression expectation without importing code; quarantine example; link to future derived replacement and rollback/compatibility check.	Regression harness is recorded as test evidence only, not as a source object or closure proof.				
Generated-data derived-only closure workflow	A phase/object claims derived-only closure, arithmetic/physics seed success, or green status for a nontrivial path.	Structural skeleton; local proof obligations; generated data source; operational smoke path; verification evidence; current Lean data timestamp.	Record skeleton, proof modules, generated-data origin, smoke path, and verification result in scratchpad/dossier; mark claim yellow/orange/red until the complete path is shown.	The phase/object can close only when the operational generated-data path is explicit and the dossier distinguishes skeleton success from real data validation.				
Natural-origin missing-structure workflow	Implementation, proof search or pre-implementation thought experiment discovers a missing structure in a downstream phase. Includes red CI failures produced by the active phase branch/PR.	Failing consumer, missing structure description, candidate source layers, rejected patch sites, dependency graph, proof/audit reason for the selected origin.	Mark downstream phase red; add static finding; create/activate the earliest natural upstream phase; document why the structure belongs there and not at the consumer. For red CI, also expose the failure through the visible failure-history channel and link it to the generated repair/localization phase.	Downstream phase can reopen only after the upstream natural-origin phase closes and lifecycle/provenance links are updated.	P1.39	2026-05-12T07:55:00+02:00	planning-delta	P1.39 timestamp-bounded delta record: CI red-path visibility plus delta-PDF output policy.
Implementation-thought-experiment phase-readiness workflow	The user asks whether future phases are implementable or which positive path phase should become active.	Current phase/object table, dependencies, linked objects, module seams, no-go guardrails, implementation packet, known red blockers.	Simulate implementation pressure rather than only checking listed dependencies; record hidden dependencies, route blockers upstream, and assign G/Y/O/R status with evidence.	A phase is yellow only when the thought experiment finds no missing source object/consumer contract; orange only with explicit predecessor closures; red if an upstream natural-origin blocker exists.				
Explorer/YAML epistemic-control workflow	CNNA planning complexity exceeds linear-document manageability or a new visual/database presentation is proposed.	Master YAML, generated exports, stable IDs, typed nodes/edges, lifecycle status, declaration classification, external-reference/hypothesis markers.	Treat YAML/SQL/Explorer as epistemic control and review surfaces; keep PDF/TeX as generated renderings; ensure all Explorer status displays are backed by machine-readable fields.	Explorer/UI may present the project only when it preserves Lean/YAML truth separation, edge semantics, lifecycle status, and review/hypothesis markers.				
Pillar co-development and acyclic handoff workflow	A later plan requires B, C, D and E to be developed in a mutually constraining way from Pillar A.	Pillar-specific source objects, A->X handoffs, input handoff rights, backreaction channels, graph edge types, cycle checks.	Represent co-development as explicit acyclic handoff/backreaction windows; do not replace the partial order by informal mutual dependency.	The plan may show co-development visually only when proof-producing provenance remains acyclic and all backreaction enters through declared input handoffs.				
GitHub backup-gated assistant/repository automation workflow	The assistant or an automated script is asked to modify the CNNA GitHub repository rather than only an uploaded zip.	Repository full name, current default-branch SHA, branch-protection rules, GitHub App/API permissions, intended phase/object scope and active no-go guardrails.	Create or verify a backup tag/branch for the current default-branch SHA before any mutable work; create a work branch; commit changes there; open a PR; run required CI; record backup ref, work branch, PR, commit SHA and CI status in the planning/export evidence. If backup ref creation or verification fails, stop before work-branch mutation.	Normal path exits only through PR plus green required checks. Direct main writes are blocked except explicit emergency override with recorded backup, reason and rollback path. No automated repository write may proceed without a recoverable backup ref for the parent commit it modifies.	P1.40	2026-05-12T08:18:00+02:00	planning-delta	P1.40 workflow-coherence audit: clarified no-build vs red-build states, delta-PDF closeout, red-history API/deployment dependencies, and added anti-self-sabotage workflow guardrail.
CI snapshot-artifact and Webhosting-MySQL import workflow	A green Lean/inventory build should update the public Explorer or MySQL-backed production/current mirror; red builds must instead route to CEX15/CEX16 and publish visible failure history without current swap.	Pinned lean-toolchain/lake-manifest, Master YAML, generated exports, repo inventory, snapshot_manifest schema, Webhosting import endpoint or server-local importer, DB credentials held outside public code.	Run lake build and scans; generate YAML/JSON/TSV/SQL artifacts plus hashes. On green CI, upload artifact, import only into staging, validate row/hash/provenance coverage, swap current read-only mirror atomically, and archive backup/validation reports. On red CI, stop before production/current upload/import, emit failure evidence to the phase-state controller, publish visible read-only failure history through CEX16 and link the generated repair predecessor.	Green deployment exits only if previous current snapshot remains rollbackable, public API is read-only, every row carries commit/toolchain/hash provenance and failed imports leave the old current snapshot active. Red CI exits through CEX15 repair-phase generation plus CEX16 failure-history publication, not production/current deployment.	P1.39	2026-05-12T07:55:00+02:00	planning-delta	P1.39 timestamp-bounded delta record: CI red-path visibility plus delta-PDF output policy.
CI build-result phase-transition workflow	A GitHub Actions Lean/Lake build and declared scan pipeline completes for the active phase branch or PR.	active phase_id; current work branch/PR; backup ref; commit SHA; GitHub Actions run/job conclusion; Lean build logs; scanner/artifact manifest; current phase/object/proof/scratchpad registers; dependency graph; last green snapshot.	If CI is red, block merge and production/current deploy/import, set the attempted active phase to R, record failure evidence, publish a visible read-only failure-history snapshot, and create or activate a predecessor repair phase at the natural source layer with object-link policy, dependencies, scratchpad and proof-dossier stubs. If CI is green, record build/scanner/artifact evidence, set the active phase to G only when closeout fields are complete, update linked object/dossier/scratchpad rows, and advance exactly one active cursor to the next dependency-complete phase.	Red exit leaves no production SQL/Explorer current update and no merge, but does leave a visible failure-history snapshot and repair predecessor as the active follow-up if dependencies are known. Green exit leaves the completed phase G, evidence complete, public mirrors updated only through validated snapshot import, and exactly one next active phase selected.	P1.39	2026-05-12T07:55:00+02:00	planning-delta	P1.39 timestamp-bounded delta record: CI red-path visibility plus delta-PDF output policy.
Local archival and rollback workflow for automated snapshots	A repository or public database snapshot becomes a release candidate or public Explorer state.	Git backup tag/branch or commit SHA, workflow artifact, SQL dump/snapshot, snapshot_manifest.json, validation report and release timestamp; for red CI, red_failure_snapshot.json and repair-phase link as history artifacts rather than production/current release artifacts.	Create downloadable/locally archivable git bundle or mirror-clone instruction; store SQL dump or generated SQL artifact for green release candidates; record manifest hashes; document restore path for Git and MySQL separately. Preserve red failure snapshots in history/archive without promoting them to current production state.	A release snapshot is not considered deployment-hardened until Git state, generated artifacts and database mirror state can each be restored independently. A red failure snapshot is considered review-visible only if archived or queryable as history while last green current remains rollbackable.	P1.40	2026-05-12T08:18:00+02:00	planning-delta	P1.40 workflow-coherence audit: clarified no-build vs red-build states, delta-PDF closeout, red-history API/deployment dependencies, and added anti-self-sabotage workflow guardrail.
Red-build failure visibility workflow	A Lean/scan CI run fails for the active phase branch/PR and the failure affects phase-state transition.	commit SHA; GitHub Actions run/job IDs; active phase_id; failed job names; sanitized log/artifact pointers; phase_state_transition_manifest.json; generated repair-phase ID/link; last green snapshot ID/hash; no-current-swap evidence.	Generate red_failure_snapshot.json or equivalent; insert/read-only expose a failure-history row/API view; link the failure to the generated predecessor repair phase or localization gate; preserve last green production/current snapshot; scrub secrets and avoid publishing excessive logs.	The red failure is visible to reviewers and Explorer/history consumers, but no merge, production/current MySQL swap or green-snapshot publication occurs. The failure artifact is generated-secondary evidence, not a truth source.	P1.39	2026-05-12T07:55:00+02:00	planning-delta	P1.39 timestamp-bounded delta record: CI red-path visibility plus delta-PDF output policy.
Timestamp-bounded delta-PDF generation workflow	A planning update changes a bounded set of YAML rows under one planning_data_timestamp/change timestamp, but no full-release or full-audit checkpoint is requested or explicitly triggered by the user.	planning_data_version; planning_data_timestamp; per-row Change version; per-row Change timestamp; changed-row section/key list; generated TSV exports; optional context-slice query for the same change version.	Mark every changed row with the same Change version and Change timestamp; regenerate TSV/table exports; emit a delta PDF containing only matching changed rows/sections and a matched-row export bundle; do not compile or present the full documentation PDF as the default artifact.	The user receives the updated full ZIP plus a delta PDF. The delta PDF contains only records whose Change version/Change timestamp match the update set, with an explicit note that Lean remains primary and the delta is generated-secondary. Full PDF generation is optional, explicit or release/full-audit-gated and must not be silently substituted as the default bounded-change artifact.	P1.40	2026-05-12T08:18:00+02:00	planning-delta	P1.40 workflow-coherence audit: clarified no-build vs red-build states, delta-PDF closeout, red-history API/deployment dependencies, and added anti-self-sabotage workflow guardrail.
Workflow coherence, precedence and anti-self-sabotage audit workflow	Before adding, deleting or materially changing workflow_policy rows; before activating CI/DB/Explorer automation; after any user identifies a possible workflow conflict or self-blocking rule.	Complete workflow_policy section; global_no_go_guardrails; active phase table; object/proof/scratchpad registers; CI red/green state-machine objects CEX15-CEX16; database/read-only mirror policy; documentation-output policy; current latest_change_overview.	Classify every affected workflow by state transition domain (preparation, implementation, build evidence, red failure, green closeout, DB mirror, backup/rollback, documentation). Check for contradictory exits, missing predecessor dependencies, hidden red paths, false-green paths, direct-main writes, production/current swaps on red, public write leaks and full-PDF churn. Record every contradiction as a static finding and patch the earliest workflow/source layer, not downstream consumers.	The workflow set passes only if missing-evidence, red-failure, green-success and documentation-delta states remain distinct; red failures are visible but never current production; green closeout requires evidence and exactly one active cursor; public DB/API remains read-only; backup/rollback precedes mutable repository or current-mirror changes; bounded planning changes emit delta PDFs by default.	P1.40	2026-05-12T08:18:00+02:00	planning-delta	P1.40 workflow-coherence audit: clarified no-build vs red-build states, delta-PDF closeout, red-history API/deployment dependencies, and added anti-self-sabotage workflow guardrail.
