Phase	Main goal	Source objects/dependencies	Definitions/objects	Current code modules	Target modules/objects	Proof goals	Phase status	Object link policy	Object link explanation	Child object scope	Context class	Phase documentation tier	Phase documentation depth requirement	Change version	Change timestamp	Change class	Change note
1.1.5	Post-split import firewall and Phase-3 visibility gate	1.1.1.3; 1.1.2; 1.1.3; 1.1.4; pruning ledger from 1.1.1.4	import firewall; forbidden Legacy.StatusGates consumers; generated audit update	BuildAll.lean; all imports touching Arithmetic/Notation.lean; repo_inventory/raw_export	updated generated module inventory; phase 3 source dependencies may import only neutral/CoreSymbols surfaces	Prove/check the import firewall: Phase 3+ must consume only public neutral API modules, never Legacy.StatusGates, Legacy.PhaseAliases, dead-candidate ledgers, or blue objects before semantic correction.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		ToolInfrastructurePhase	F3	Compact record: what exists, why it exists, owning phase, source location, and whether it may affect Lean objects. Avoid proofbook bloat.				
1.2	Foundation and generator Profile neutralization	1.1.5; current foundation/generator modules; preliminary object IDs O00/G00-G04	ExecComplexPath; GeneratorProvenance; substrateProfile; LevelProfile; CarrierProfile	GeneratedSource.lean; GeneratedMainPath.lean; BoundarySource/*.lean; Foundation/ExecComplex*.lean	CNNA/PillarA/Foundation/ExecComplex.lean; CNNA/PillarA/Foundation/GeneratorProvenance.lean; CNNA/PillarA/Foundation/Substrate/*.lean; CNNA/PillarA/Foundation/LevelProfile.lean; CNNA/PillarA/Foundation/CarrierProfile.lean	No reindex/level/carrier without proof profile. ExecComplex remains the operational scalar path; no noncomputable Complex replacement.	W	scope_only	umbrella/routing phase; child phases own the registered objects	O00, O09, G00, G01, G02, G03, G04, S07, S08	LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.2.1	Neutralize ExecComplex operational scalar boundary	1.2; current ExecComplex modules	ExecComplexPath and computability boundary	CNNA/PillarA/Foundation/ExecComplex.lean; ExecComplexBridge.lean; ExecComplexLemmas.lean	CNNA/PillarA/Foundation/ExecComplex.lean	Expose only the computable operational scalar boundary and any mirror bridge explicitly; no analytic shortcut is allowed.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase	O09	LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.2.1.1	ExecComplex capability and limitation audit	O00, LEG20, LEG31; current ExecComplex API and bridge modules	O00/O09 boundary checklist	CNNA/PillarA/Foundation/ExecComplex.lean; CNNA/PillarA/Foundation/ExecComplexBridge.lean	No new module by default; possible future CNNA/PillarA/Foundation/ExactQuadraticComplex.lean only after manifest approval	Classify which operations are fully executable over QxQ, which are exact quadratic but not QxQ, and which are analytic mirror-only. V1.19 status policy: locked red until a release proof references the prerequisite derived-only Lean objects and turns this phase yellow or orange.	R	no_direct_object	baseline/audit/closeout/infrastructure phase with no registered object ownership		LeanDerivationPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.2.1.2	Required exact quadratic scalar schema: discriminant-indexed minimal operational interface	O09, LEG31, LEG32; mathlib QuadraticAlgebra over Q as reference; no concrete D-instantiation before O05/O06 or equivalent ledger	ExactQuadraticScalar schema parameterized by D; theta symbol with relation theta^2 = D; coordinate operations over Q; no free sqrt(D)	None yet	Candidate schema module only if Phase 1.1.1.1.1/1.1.1.1.2 prove no existing module owns the semantics; no concrete instance without O10/BR14	Construct or wrap the minimal two-coordinate exact quadratic schema and prove its coordinate laws. This phase must not assert that any particular D has been generated; it only prepares the schema consumed later by the discriminant-source instantiation gate. V1.19 status policy: locked red until a release proof references the prerequisite derived-only Lean objects and turns this phase yellow or orange.	R	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanDerivationPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.2.2	Neutralize generator provenance source profile	1.2.1; generated source/main-path modules	GeneratorProvenance	CNNA/PillarA/Arithmetic/Smoke/GeneratedSource.lean; GeneratedMainPath.lean; BoundarySource/GeneratedSubstrateRoute.lean	CNNA/PillarA/Foundation/GeneratorProvenance.lean	Forward existing provenance data through a neutral source profile; do not make substrate/level choices in this module.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.2.3	Neutralize regular substrate profile	1.2.2; regular branching substrate modules	substrate: regular branching	CNNA/PillarA/Foundation/ConcreteSubstrate.lean; Arithmetic/BoundarySource/BranchAddressSubstrate.lean; BoundaryStateSubstrate.lean	CNNA/PillarA/Foundation/Substrate/Regular.lean	Separate regular branching data from variable branching data; no geometric angle/lattice assumption enters here.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.2.4	Neutralize variable substrate profile	1.2.2; variable branching and weight-policy modules	substrate: variable branching	CNNA/PillarA/Foundation/LevelVariableSubstrate.lean; Foundation/WeightPolicy.lean; GeneratedDegreeFormulaAuditSM3db2eR0.lean	CNNA/PillarA/Foundation/Substrate/Variable.lean	Keep variable branching proof-carrying and explicit; no class/instance oracle hides the generated data.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.2.5	Neutralize level and cutoff profile	1.2.2-1.2.4; level-history modules	Level / Cutoff	CNNA/PillarA/Arithmetic/BoundarySource/LevelHistoryIndex.lean; LevelStepWitness.lean; Handoff/Core/Step1MathData.lean	CNNA/PillarA/Foundation/LevelProfile.lean	Level selection must be provenance-carrying and cannot be conflated with later experiment requests.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.2.6	Neutralize carrier/index profile	1.2.5; recursive level-history carrier modules	Carrier / index type	CNNA/PillarA/Arithmetic/BoundarySource/RecursiveLevelHistoryCarrier.lean; LevelHistoryIndex.lean; GeneratedLevelStepWitnessSM6.lean	CNNA/PillarA/Foundation/CarrierProfile.lean	Expose carrier, Fintype/DecidableEq/cardinality/equivalence data explicitly; avoid high-arity index eliminators.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.2.7	Neutralize IdealThread singleton directed-family profile	SubstrateClass; InfiniteThread; IdealThread.carrier; IdealThread.family; deterministic coarsening lemmas.	S07 IdealThread singleton directed-family profile.	CNNA/PillarA/Foundation/SubstrateClass.lean; CNNA/PillarA/ToC/Contract.lean; CNNA/PillarA/Arithmetic/BoundarySource/ExistingIdealThreadNoGo.lean	CNNA/PillarA/ToC/IdealThreadProfile.lean	Expose neutral theorems: carrier L = {cell L}; family carrier equals singleton carrier; family is rooted/forward; deterministic coarsenSet(carrier(L+1)) = carrier L. No public phase-semantic names.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.2.8	Neutralize CutSpec.full maximal-carrier/full-approximant profile	TruncatedFamily; CutSpec.full; RegionCore.ofCutSpec; BoundaryPorts.full; FullBoundaryAudit.	S08 CutSpec.full maximal cut profile.	CNNA/PillarA/Finite/CutSpec.lean; CNNA/PillarA/Finite/RegionCore.lean; CNNA/PillarA/Finite/BoundaryPorts.lean; CNNA/PillarA/Arithmetic/Core/FullBoundaryAudit.lean	CNNA/PillarA/Finite/FullCutProfile.lean	Expose neutral theorem that (CutSpec.full T).carrier L = T.carrier L. Record that full cut is the full-region route and must not be conflated with IdealThread singleton route.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.3	Regime, partition, and complement Profile neutralization	1.2.6; current partition/regime/complement modules; preliminary object IDs G05-G10	PartitionProfile; RegimeProfile; ComplementProfile	GeneratedBoundaryInteriorPartition.lean; Sectors/*.lean; Network/*.lean; A_to_B.lean	CNNA/PillarA/Schur/PartitionProfile.lean; CNNA/PillarA/Regime/*.lean; CNNA/PillarA/Regime/Complement/*.lean	noOuter/hasOuter are A-derived regimes. Complement data is A-internal and must not leak directly to bright Pillar B.	W	scope_only	umbrella/routing phase; child phases own the registered objects	G05, G06, G07, G08, G09, G10	LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.3.1	Neutralize boundary/interface/interior partition profile	1.3; generated boundary/interior partition modules	Boundary / interface / interior partition	CNNA/PillarA/Arithmetic/Smoke/GeneratedBoundaryInteriorPartition.lean; CNNA/PillarA/Finite/CutSpec.lean; CNNA/PillarA/Finite/BoundaryPorts.lean	CNNA/PillarA/Schur/PartitionProfile.lean	Partition is a source layer for Schur/DtN, not a consumer-side convention.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.3.2	Neutralize noOuter/hasOuter regime split	1.3.1; sector/complement/environment modules	Regime: noOuterEnvironment; Regime: hasOuterEnvironment	CNNA/PillarA/Handoff/Outputs/A_to_B.lean; CNNA/PillarA/Sectors/SectorSplit.lean; CNNA/PillarA/Sectors/ComplementSectorFamily.lean; CNNA/PillarA/Network/SectorSysEnv.lean	CNNA/PillarA/Regime/NoOuter.lean; CNNA/PillarA/Regime/HasOuter.lean	Keep noOuter closed/root branch separate from hasOuter/open branch. No stochasticity or nonunitarity is genericized.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.3.3	Neutralize complement-family profiles	1.3.2; complement-family source modules	Complement families: UV tail; IR/parent-path tail; sideways environment	CNNA/PillarA/Sectors/UVSpectralSelector.lean; CNNA/PillarA/Sectors/ComplementSectorFamily.lean; CNNA/PillarA/Network/SectorChannels.lean; CNNA/PillarA/Handoff/Outputs/A_to_B.lean	CNNA/PillarA/Regime/Complement/UVTail.lean; CNNA/PillarA/Regime/Complement/IRTail.lean; CNNA/PillarA/Regime/Complement/SideEnvironment.lean	Complement families are derived A-internal profiles; they are not exported as direct bright-sector data.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.4	Cayley-Dickson structural path neutral reintegration	1.1.5; current Cayley-Dickson structural modules; preliminary object IDs CD0-CD7	CD source; star; normSq; product; alternative/norm laws; HurwitzStop	Structural/CayleyDickson/*.lean; Arithmetic/CayleyDickson/*.lean; Handoff/CayleyDicksonAdapter.lean	CNNA/PillarA/Structural/CayleyDickson/*.lean	CD remains an A-internal structural consumer/bridge; no unproved identification of R/C/H/O with arithmetic sectors.	W	scope_only	umbrella/routing phase; child phases own the registered objects	CD0, CD1, CD2, CD3, CD4, CD5, CD6, CD7, GA0, GA1, GA2, GA3	LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.4.1	Neutralize Cayley-Dickson source profile	1.4	Cayley-Dickson source	CNNA/PillarA/Structural/CayleyDickson/Source.lean; CNNA/PillarA/Handoff/CayleyDicksonAdapter.lean	CNNA/PillarA/Structural/CayleyDickson/Source.lean	Forward the existing CD source through a neutral profile without turning it into an arithmetic generator.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.4.2	Neutralize scalar part profile	1.4.1	Scalar part	CNNA/PillarA/Structural/CayleyDickson/S6CanonicalScalarPart.lean	CNNA/PillarA/Structural/CayleyDickson/ScalarPart.lean	Scalar part must be downstream of CD source and must not be used as sector ontology.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.4.3	Neutralize Cayley-Dickson star/conjugation profile	1.4.1-1.4.2	Cayley-Dickson star/conjugation	CNNA/PillarA/Structural/CayleyDickson/S6CanonicalStar.lean	CNNA/PillarA/Structural/CayleyDickson/Star.lean	Star/conjugation proof is forwarded structurally; no arithmetic identification is introduced.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.4.4	Neutralize CD normSq profile	1.4.3	CD normSq	CNNA/PillarA/Structural/CayleyDickson/S6CanonicalNormSqDefined.lean; S6CanonicalNormSqReduction.lean; S6CanonicalNormSqBlockSystem.lean	CNNA/PillarA/Structural/CayleyDickson/NormSq.lean	NormSq remains a CD structural certificate until a later arithmetic bridge is proved.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.4.5	Neutralize CD product profile	1.4.1; 1.4.3	CD multiplication/product	CNNA/PillarA/Structural/CayleyDickson/S6CanonicalProductSurfaceCandidate.lean; S6CanonicalProductMultiplicationCandidate.lean	CNNA/PillarA/Structural/CayleyDickson/Product.lean	Product data is re-exposed without changing algebraic semantics.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.4.6	Neutralize alternative-law certificate	1.4.5	Alternative law	CNNA/PillarA/Structural/CayleyDickson/S6AlternativeLawScaffold.lean; S6FullAlternativeLawBoundary.lean	CNNA/PillarA/Structural/CayleyDickson/AlternativeLaw.lean	Forward the certificate only if the exact product/star/norm provenance is visible.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.4.7	Neutralize norm-multiplicativity certificate	1.4.4; 1.4.5	Norm multiplicativity	CNNA/PillarA/Structural/CayleyDickson/S6NormSqMultiplicativity.lean; S6NormMultiplicativityScaffold.lean	CNNA/PillarA/Structural/CayleyDickson/NormMultiplicativity.lean	Do not use multiplicativity to infer arithmetic sector semantics before CD8.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.4.8	Neutralize Hurwitz-stop/classification boundary	1.4.6; 1.4.7	Hurwitz stop / R,C,H,O classification	CNNA/PillarA/Structural/CayleyDickson/S6HurwitzStopSeed.lean; S6CayleyDicksonIdentification.lean	CNNA/PillarA/Structural/CayleyDickson/HurwitzStop.lean	Classification is a structural boundary result, not a license to identify arithmetic sectors without a later bridge.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.4.9	Quaternion/geometric-algebra external reference gateway for the Cayley-Dickson structural path	1.4.8; CD0-CD7; Horn 0709.2238v1; Hamilton quaternion relations; Pauli/Cartan sign conventions; mathlib Quaternion and CliffordAlgebra documentation; comparison-only, no CNNA input	GA0; umbrella reference packet for Hamilton units, Pauli/Cartan representation, bivector duality and biquaternion multivector target profiles	No current Lean module; external PDF and documentation-only source notes	GA0; optional future CNNA/PillarA/Structural/CayleyDickson/ReferenceGates/QuaternionGAGate.lean only after release check	Record what must later be compared if the CNNA CD path produces quaternion-like or Clifford-like structure: unit squares, anti-commutation, orientation/sign convention, pseudoscalar square and eight-basis profile. The gate must never identify CD levels with R/C/H/O or Pauli/Clifford objects before a CNNA-derived proof.	W	direct	comparison/reference gateway phase owns GA0; child phases own the finer gate profiles		ReferenceGatePhase	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.				
1.4.9.1	Hamilton unit and Pauli/Cartan sign-convention comparison profile	1.4.9; CD0-CD7; Horn quaternion/Pauli sections; mathlib Quaternion API; no operational import yet	GA1	No current Lean module; compare later against neutral CD source/product/star modules	GA1; optional future QuaternionUnitComparisonProfile API	Later, after CD structure is closed, compare only the target identities i^2=j^2=k^2=ijk=-1 and anti-commutation patterns plus sign-convention choices. The comparison must distinguish complex i from quaternion i and must not create arithmetic-sector identifications.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		ReferenceGatePhase	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.				
1.4.9.2	Bivector/pseudoscalar duality and complex-quaternion multivector comparison profile	1.4.9; 1.4.9.1; Horn duality and complex-quaternion sections; CliffordAlgebra reference APIs; no CNNA input	GA2, GA3	No current Lean module; future comparison only after a derived orientation/volume/pseudoscalar candidate exists	GA2, GA3; optional future CliffordDualityComparisonProfile and BiquaternionMultivectorProfile APIs	Record target duality facts I = sigma_x sigma_y sigma_z, I^2 = -1, vector/bivector pairing and eight-component multivector bookkeeping. Do not let the external GA basis choose CNNA basis, orientation, dimension, complex scalar layer or physics semantics.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		ReferenceGatePhase	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.				
2	Canonical object register and code-module map after refactor	1 closed, i.e. 1.1.5 + 1.2.6 + 1.3.3 + 1.4.8; neutral wrapper surface; theory register; code audit	all relevant canonical objects G/S/O/N/L/M/TM/SP/CD/H/P	masters/object_register.tsv; masters/phase_roadmap.tsv	neutral API according to object register for: all relevant objects G/S/O/N/L/M/TM/SP/CD/H/P	define each object exactly once; current module, target API, handoff rights, status, and Exec path per row	W	scope_only	umbrella/routing phase; child phases own the registered objects	H00, H01, H02, H03	LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
2.1	Object DAG and single-definition rule	2; neutral wrapper surface	G00 and all register IDs	masters/object_register.tsv	neutral API according to object register for: G00 and all register IDs	every object has natural provenance; no consumer defines its own source	W	no_direct_object	baseline/audit/closeout/infrastructure phase with no registered object ownership		LeanRefactorPhase	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.				
2.2	Record current derivation sites from the code	2.1; neutral wrapper surface; SM9h code tree	code-module field	all listed CNNA/PillarA/*.lean Module	neutral API according to object register for: code-module field	each register row states where the derivation lives or that it is missing/incomplete	W	no_direct_object	baseline/audit/closeout/infrastructure phase with no registered object ownership		LeanRefactorPhase	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.				
2.3	Access and handoff governance	2.1; H00-H14; neutral handoff surface	A-internal, A-in:*, A->*, forbidden-to-A	Handoff/Inputs/*.lean; Handoff/Outputs/*.lean	neutral API according to object register for: A-internal, A-in:*, A->*, forbidden-to-A	A consumes no own outputs; inputs B/C/D/E -> A are the only backreaction sources	W	scope_only	umbrella/routing phase; child phases own the registered objects	H00, H01, H02, H03	LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
2.3.1	Derive/register object group: A input handoff B->A, A input handoff C->A, A input handoff D->A, A input handoff E->A	2.3	A input handoff B->A; A input handoff C->A; A input handoff D->A; A input handoff E->A	CNNA/PillarA/Handoff/Inputs/B_to_A.lean; CNNA/PillarA/Handoff/Inputs/C_to_A.lean; CNNA/PillarA/Handoff/Inputs/D_to_A.lean; ...	CNNA/PillarA/Handoff/AinputhandoffBA.lean; CNNA/PillarA/Handoff/AinputhandoffCA.lean; CNNA/PillarA/Handoff/AinputhandoffDA.lean; ...	establish the listed object(s) in natural dependency order; split further if proof dependencies are too deep	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
2.4	Split rule for phases and subphases	2.1-2.3	DAG-depth gate	masters/phase_roadmap.tsv	neutral API according to object register for: DAG-depth gate	split a phase when prerequisites/proof kinds/generation layers are too deep or mixed	W	no_direct_object	baseline/audit/closeout/infrastructure phase with no registered object ownership		LeanRefactorPhase	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.				
3	Schur/DtN core in neutral derivation order	1.2.6-1.3.3; S00-S06; notation/import firewall 1.1.5 closed; BR06 route separation before 3.1.	DirichletLaplacian -> InteriorBlock -> Inverse -> Elimination -> DtN -> generalized	Smoke/GeneratedDirichletEntry.lean; GeneratedInterior*.lean; GeneratedTopBoundaryDtNSM3gR.lean; GeneratedGeneralizedTopBoundaryDtNSM3hR.lean	neutral API according to object register for: DirichletLaplacian -> InteriorBlock -> Inverse -> Elimination -> DtN -> generalized	encapsulate the existing derived-only chain by domain role; do not reinvent product/inverse formulas; route classification must be complete before wrapping boundary operators.	W	scope_only	umbrella/routing phase; child phases own the registered objects	BR06, S00, S01, S02, S03, S04, S05, S06	LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
3.0	Boundary-source route separation: full-cut matrix geometry versus IdealThread scalar collapse	S07; S08; ExistingIdealThreadNoGo; FullBoundaryAudit; Phase 3 Schur/DtN profiles.	BR06 Boundary-route extrema contract.	CNNA/PillarA/Arithmetic/BoundarySource/ExistingIdealThreadNoGo.lean; CNNA/PillarA/Arithmetic/Core/FullBoundaryAudit.lean; CNNA/PillarA/Finite/*; CNNA/PillarA/DtN/*	CNNA/PillarA/Schur/BoundaryRouteContract.lean	Before wrapping Schur/DtN, state which proofs consume the full CutSpec route and which are only scalar/thread-route audits. A nontrivial boundary matrix must be sourced from full/generated boundary data, not from an IdealThread singleton unless a separate lifting theorem exists.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
3.1	Dirichlet Laplacian and partition	G04-G05/S00	DirichletLaplacianProfile	Finite/DirichletLaplacian.lean; Smoke/GeneratedDirichletEntry.lean	neutral API according to object register for: DirichletLaplacianProfile	operator source from partition, weights, adjacency; clarify Exec mirror	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
3.2	InteriorBlock	3.1/S01	InteriorBlockProfile	Smoke/GeneratedInteriorBlock.lean	neutral API according to object register for: InteriorBlockProfile	block entries proof-carrying from Dirichlet profile; no free matrix	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
3.3	Interior inverse candidate and trace/fold	3.2/S02	InteriorInverseCandidateProfile	Smoke/GeneratedInteriorInverseCandidate*.lean; GeneratedInteriorAccumulatedTraceEvaluation.lean	neutral API according to object register for: InteriorInverseCandidateProfile	candidate from trace/fold, not Matrix.inv	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
3.4	Two-sided inverse certificate	3.3/S03	Two-sided inverse certificate	GeneratedInteriorTwoSidedInvFromSM3db7R.lean; GeneratedInteriorProvenTwoSidedInvR5.lean	neutral API according to object register for: Two-sided inverse certificate	left and right products from existing provenance chain	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
3.5	InteriorEliminationData	3.4/S04	InteriorEliminationProfile	GeneratedInteriorEliminationCertificateSM3fR.lean	neutral API according to object register for: InteriorEliminationProfile	Schur elimination data from TwoSidedInv	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
3.6	DtN BoundaryOperator	3.5/S05	BoundaryOperatorProfile	GeneratedTopBoundaryDtNSM3gR.lean; DtN/DtN.lean	CNNA/PillarA/Schur/BoundaryOperatorProfile.lean; consumer-contract notes for Operational/ExecComplex phase 4.1	Boundary operator as a profile derivable inside A and later exportable. The wrapper must also publish the consumer-ready shape needed by Phase 4.1, without importing Phase 4 or depending on Exec arithmetic implementation.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
3.7	GeneralizedDtN/MultiSchur	3.6/S06	GeneralizedBoundaryOperatorProfile	GeneratedGeneralizedTopBoundaryDtNSM3hR.lean; GeneratedMultiSchurSM4.lean; Coupling/*.lean	neutral API according to object register for: GeneralizedBoundaryOperatorProfile	MultiSchur only as an extension of the BoundaryOperatorProfile	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
4	Operational ExecComplex arithmetic path from BoundaryOperator	3.6-3.7; O01-O06; BR07 thread-recursion audit before 4.1.	BoundaryMatrix -> recurrence -> polynomial -> window -> D_op -> target policy	GeneratedMultiSchurExecBoundaryOperator*.lean; GeneratedOperationalDeterminantCoefficientRecurrenceSM9e.lean; GeneratedOperationalQuadratic*.lean	neutral API according to object register for: BoundaryMatrix -> recurrence -> polynomial -> window -> D_op -> target policy	neutralize SM9h core: all values via ExecComplex, no target values as sources; recurrence provenance must be audited before arithmetic interpretation.	W	scope_only	umbrella/routing phase; child phases own the registered objects	BR07, O07, O08, BR12, BR13, O01, O02, O03, O04, O05, O10, BR14, O06	LeanRefactorPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
