Module	Path	Group	Consumption class	Classification evidence	Imported-by count	Reference consumer count	Reference consumer sample	Public promotion gate
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationCandidate	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationCandidate.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	32	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationCandidateEntry	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationCandidateEntry	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationCandidateEntry.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	188	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTwoSidedInv	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationCarrier	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationCarrier.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	160	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationStep	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationCertificateSM3fR	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationCertificateSM3fR.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	40	CNNA.PillarA.Arithmetic.Smoke.GeneratedSM3fSchurExecEntrySourceSM3fq; CNNA.PillarA.Arithmetic.Smoke.GeneratedTopBoundaryDtNSM3gR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationStep	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationStep.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	67	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationTrace	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationTrace	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationTrace.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	134	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorInverseCandidateEntry	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorInverseCandidateEntry	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateEntry.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	57	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorAccumulatedTraceEvaluation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorInverseCandidateMatrix	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateMatrix.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	64	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorInverseCandidateShapeSeparation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorInverseCandidateShapeSeparation	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateShapeSeparation.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	64	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.SM3dbRToSM3eRHandoff	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorInverseCandidateStart	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateStart.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	29	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationCarrier	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorLocalStepCancellationR3c1bFull	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorLocalStepCancellationR3c1bFull.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	9	CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlockFoldInvarianceR3c1c	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorLocalStepSchurCancellationInvariantSM3db2aR	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorLocalStepSchurCancellationInvariantSM3db2aR.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	15	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorPerPivotRegularityFromTraceSM3db2bR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorLocalStepSchurCancellationSourceAuditR3c1b0	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorLocalStepSchurCancellationSourceAuditR3c1b0.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	3	20	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorLocalStepSchurCancellationInvariantSM3db2aR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorPerPivotRegularityFromTraceSM3db2bR	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorPerPivotRegularityFromTraceSM3db2bR.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	18	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTracePivotScaleWitnessFromGeneratedDegreeSM3db2cR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorProductIdentityProofR4a	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorProductIdentityProofR4a.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	6	CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorProvenTwoSidedInvR5	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorProvenTwoSidedInvR5	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorProvenTwoSidedInvR5.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	7	CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationCertificateSM3fR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTerminalFoldResidualCoverageSM3db4aT	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTerminalFoldResidualCoverageSM3db4aT.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	23	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTerminalFoldResidualIdentityFieldsSM3db4aU	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTerminalFoldResidualIdentityEquationSourceSM3db4aV	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTerminalFoldResidualIdentityEquationSourceSM3db4aV.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	33	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTerminalIdentityFieldCertificateFromEquationSourceSM3db4aW	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTerminalFoldResidualIdentityFieldsSM3db4aU	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTerminalFoldResidualIdentityFieldsSM3db4aU.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	4	36	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlockFoldTerminalIdentityR3c1d; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTerminalFoldResidualIdentityEquationSourceSM3db4aV	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTerminalIdentityFieldCertificateFromEquationSourceSM3db4aW	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTerminalIdentityFieldCertificateFromEquationSourceSM3db4aW.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	30	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlockFoldTerminalIdentityFromSM3db4aWR3c1dFull	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTraceCancellationDerivation	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTraceCancellationDerivation.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	23	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTraceCancellationR3c2	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTraceCancellationR3c2	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTraceCancellationR3c2.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	4	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorProductIdentityProofR4a	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTracePivotScaleWitnessFromGeneratedDegreeSM3db2cR	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTracePivotScaleWitnessFromGeneratedDegreeSM3db2cR.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	11	CNNA.PillarA.Arithmetic.Smoke.GeneratedDegreePivotScaleSourceSM3db2dR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTracePivotTerminalCoverageSourceSM3db3aR	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTracePivotTerminalCoverageSourceSM3db3aR.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	17	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTerminalFoldResidualCoverageSM3db4aT	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTwoSidedInv	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTwoSidedInv.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	31	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorInverseCandidateStart	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTwoSidedInvFromSM3db7R	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTwoSidedInvFromSM3db7R.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	4	74	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorProvenTwoSidedInvR5; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTraceCancellationDerivation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInverseCandidateExecEntrySourceSM3eRq	CNNA/PillarA/Arithmetic/Smoke/GeneratedInverseCandidateExecEntrySourceSM3eRq.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	12	CNNA.PillarA.Arithmetic.Smoke.GeneratedSM3fSchurExecCompletionSM3fqPlus	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryBoundaryPortSourceSM6a	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryBoundaryPortSourceSM6a.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	13	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistorySchurIndexBridgeRecheckSM7a	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryCharpolyExecFromMirrorSM9b	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryCharpolyExecFromMirrorSM9b.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	17	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryOperationalCharpolyPolynomialProfileFromSM9b	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryExecMatrixFromSM6bRecheckSM8	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryExecMatrixFromSM6bRecheckSM8.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	17	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryExecMirrorSourceFromSM8RecheckSM9a	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryExecMirrorSourceFromSM8RecheckSM9a	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryExecMirrorSourceFromSM8RecheckSM9a.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	15	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryCharpolyExecFromMirrorSM9b	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryExecMirrorSourceSM9a	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryExecMirrorSourceSM9a.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	4	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryExecMirrorSourceFromSM8RecheckSM9a	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryMatrixFromBridgeSM8	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryMatrixFromBridgeSM8.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	23	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryExecMatrixFromSM6bRecheckSM8; CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryExecMirrorSourceSM9a	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryOperationalCharpolyPolynomialProfileFromSM9b	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryOperationalCharpolyPolynomialProfileFromSM9b.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	9	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryOperationalCoefficientSourceFromSM9c	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryOperationalCoefficientSourceFromSM9c	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryOperationalCoefficientSourceFromSM9c.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	8	CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDeterminantCoefficientRecurrenceSM9e	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistorySchurIndexBridgeRecheckSM7a	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistorySchurIndexBridgeRecheckSM7a.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	5	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryMatrixFromBridgeSM8	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryToSchurIndexSM7	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryToSchurIndexSM7.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	16	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistorySchurIndexBridgeRecheckSM7a	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelStepExecMirrorSourceFromSM5qRecheckSM6b	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelStepExecMirrorSourceFromSM5qRecheckSM6b.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	8	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryExecMatrixFromSM6bRecheckSM8	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelStepExecMirrorSourceSM6b	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelStepExecMirrorSourceSM6b.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	6	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelStepExecMirrorSourceFromSM5qRecheckSM6b	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelStepWitnessSM6	CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelStepWitnessSM6.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	5	69	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryBoundaryPortSourceSM6a; CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryToSchurIndexSM7; CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelStepExecMirrorSourceSM6b	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedMainPath	CNNA/PillarA/Arithmetic/Smoke/GeneratedMainPath.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	46	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedApproximantCore	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedMultiSchurExecBoundaryOperatorFromSM3fqPlusSM4q	CNNA/PillarA/Arithmetic/Smoke/GeneratedMultiSchurExecBoundaryOperatorFromSM3fqPlusSM4q.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	6	CNNA.PillarA.Arithmetic.Smoke.GeneratedArithmeticSourceExecBoundaryOperatorFromSM4qRecheckSM5q	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedMultiSchurExecBoundaryOperatorSM4q	CNNA/PillarA/Arithmetic/Smoke/GeneratedMultiSchurExecBoundaryOperatorSM4q.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	7	CNNA.PillarA.Arithmetic.Smoke.GeneratedMultiSchurExecBoundaryOperatorFromSM3fqPlusSM4q	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedMultiSchurSM4	CNNA/PillarA/Arithmetic/Smoke/GeneratedMultiSchurSM4.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	4	21	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedArithmeticSourceSM5; CNNA.PillarA.Arithmetic.Smoke.GeneratedMultiSchurExecBoundaryOperatorSM4q	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDegreeReciprocalSourceSM3db2fR	CNNA/PillarA/Arithmetic/Smoke/GeneratedOperationalDegreeReciprocalSourceSM3db2fR.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	15	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlockFoldKernelLocalSchurResidualBridgeR3c1b1	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDeterminantCoefficientRecurrenceSM9e	CNNA/PillarA/Arithmetic/Smoke/GeneratedOperationalDeterminantCoefficientRecurrenceSM9e.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	46	CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDeterminantEvaluationBridgeFromSM9e; CNNA.PillarA.Arithmetic.Smoke.OperationalBoundedPolynomialEvaluationNormalFormSM9ePlus	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDeterminantEvaluationBridgeFromSM9e	CNNA/PillarA/Arithmetic/Smoke/GeneratedOperationalDeterminantEvaluationBridgeFromSM9e.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	24	CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDeterminantForwardEvaluationBridgeFromSM9ePlus	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDeterminantForwardEvaluationBridgeFromSM9ePlus	CNNA/PillarA/Arithmetic/Smoke/GeneratedOperationalDeterminantForwardEvaluationBridgeFromSM9ePlus.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	3	CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDiscriminantFactorGateFromSM9fFull	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDiscriminantFactorGateFromSM9fFull	CNNA/PillarA/Arithmetic/Smoke/GeneratedOperationalDiscriminantFactorGateFromSM9fFull.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	12	CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalQuadraticCoefficientWindowFromSM9dSM9e	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalQuadraticCoefficientWindowFromSM9dSM9e	CNNA/PillarA/Arithmetic/Smoke/GeneratedOperationalQuadraticCoefficientWindowFromSM9dSM9e.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	5	CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalQuadraticDiscriminantSourceFromSM9g1Window	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalQuadraticDiscriminantSourceFromSM9g1Window	CNNA/PillarA/Arithmetic/Smoke/GeneratedOperationalQuadraticDiscriminantSourceFromSM9g1Window.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	1	0		not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedResetSM3LedgerSM3iR	CNNA/PillarA/Arithmetic/Smoke/GeneratedResetSM3LedgerSM3iR.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	3	10	CNNA.PillarA.Arithmetic.Smoke.GeneratedMultiSchurSM4	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedSM3fSchurExecCompletionSM3fqPlus	CNNA/PillarA/Arithmetic/Smoke/GeneratedSM3fSchurExecCompletionSM3fqPlus.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	7	CNNA.PillarA.Arithmetic.Smoke.GeneratedMultiSchurExecBoundaryOperatorFromSM3fqPlusSM4q	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedSM3fSchurExecEntrySourceSM3fq	CNNA/PillarA/Arithmetic/Smoke/GeneratedSM3fSchurExecEntrySourceSM3fq.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	9	CNNA.PillarA.Arithmetic.Smoke.GeneratedSM3fSchurExecCompletionSM3fqPlus	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedSource	CNNA/PillarA/Arithmetic/Smoke/GeneratedSource.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	9	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedTopBoundaryDtNSM3gR	CNNA/PillarA/Arithmetic/Smoke/GeneratedTopBoundaryDtNSM3gR.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	11	CNNA.PillarA.Arithmetic.Smoke.GeneratedGeneralizedTopBoundaryDtNSM3hR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.OperationalBoundedPolynomialEvaluationNormalFormSM9ePlus	CNNA/PillarA/Arithmetic/Smoke/OperationalBoundedPolynomialEvaluationNormalFormSM9ePlus.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	8	CNNA.PillarA.Arithmetic.Smoke.OperationalBoundedPolynomialForwardEvaluationSourceSM9ePlus	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.OperationalBoundedPolynomialForwardEvaluationSourceSM9ePlus	CNNA/PillarA/Arithmetic/Smoke/OperationalBoundedPolynomialForwardEvaluationSourceSM9ePlus.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	10	CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDeterminantForwardEvaluationBridgeFromSM9ePlus	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.SM3dbRToSM3eRHandoff	CNNA/PillarA/Arithmetic/Smoke/SM3dbRToSM3eRHandoff.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	4	133	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTwoSidedInvFromSM3db7R; CNNA.PillarA.Arithmetic.Smoke.GeneratedInverseCandidateExecEntrySourceSM3eRq	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.BuildAll	CNNA/PillarA/BuildAll.lean	PillarA	public-wrapper	build/umbrella module wrapper; wrapper is not semantic final proof evidence	2	0		not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Closure.BuildAll	CNNA/PillarA/Closure/BuildAll.lean	PillarA/Closure	public-wrapper	build/umbrella module wrapper; wrapper is not semantic final proof evidence	1	0		not public-final unless an object proof dossier and public API contract later permit it
