Phase	Phase status	Phase type	Context class	Title	Added modules	Modified modules	Reusable existing modules	Manifest rule	Semantic placement	Reuse/duplication audit	Canonical generator policy	Compactness rule	Duplicate risks	Consumer direction	Regression protocol	Lean/mathlib policy	Concrete traversal	Mathlib complication log	Noncomputable boundary audit
3	W	refactor	LeanRefactorPhase	Schur/DtN core in neutral derivation order										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
3.0	W	refactor	LeanRefactorPhase	Boundary-source route separation: full-cut matrix geometry versus IdealThread scalar collapse				Candidate: CNNA/PillarA/Schur/BoundaryRouteContract.lean if module-manifest gate justifies a new module.						Route direction must be explicit before implementation: thread/full profiles feed Schur/arithmetic audits; analogy/diagnostics never feed generator code.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
3.1	W	refactor	LeanRefactorPhase	Dirichlet Laplacian and partition										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
3.2	W	refactor	LeanRefactorPhase	InteriorBlock										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
3.3	W	refactor	LeanRefactorPhase	Interior inverse candidate and trace/fold										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
3.4	W	refactor	LeanRefactorPhase	Two-sided inverse certificate										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
3.5	W	refactor	LeanRefactorPhase	InteriorEliminationData										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
3.6	W	refactor	LeanRefactorPhase	DtN BoundaryOperator										Must export BoundaryOperatorProfile in the shape needed by Phase 4.1 while avoiding any import of Phase 4. This contract is prepared before code wrapping.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
3.7	W	refactor	LeanRefactorPhase	GeneralizedDtN/MultiSchur										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
4	W	refactor	LeanRefactorPhase	Operational ExecComplex arithmetic path from BoundaryOperator										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
4.0	R	derivation	LeanDerivationPhase	Thread-recursion arithmetic-shadow audit before operational arithmetic wrappers				Candidate: CNNA/PillarA/Operational/ThreadRecursionAudit.lean after checking if existing Schur modules can host the audit compactly.						Route direction must be explicit before implementation: thread/full profiles feed Schur/arithmetic audits; analogy/diagnostics never feed generator code.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
4.0.1	R	derivation	LeanDerivationPhase	General finite computation test matrix before operational arithmetic wrappers				Candidate: CNNA/PillarA/Operational/ThreadRecursionAudit.lean after checking if existing Schur modules can host the audit compactly.						Consumes generator/Phase-3 profiles; does not define them.	The test harness later serves as regression sentinel for wrapper migrations.	Use frozen baseline unless a phase-boundary upgrade gate is opened.	Required: at least one generic finite row family traverses the actual computation path; special sentinels cannot be the only traversal.	to be filled before implementation; include noncomputable risks for matrix/polynomial APIs.	No operational row may require noncomputable data. Mirror comparison columns are isolated.
4.0.2	R	derivation	LeanDerivationPhase	Regime-typed finite computation test matrix: noOuter-root sentinel versus HasOuter projection rows	none at decision gate; future target likely existing O07 test/profile surface	masters/cnna_roadmap_master.yaml; generated views	canonical smoke-test generator; regime split modules after Phase 1.3.2; O07 test matrix	pending Phase 1.1.1.1.1	test/schema layer, not generator layer	must reuse O07/canonical smoke-test generator; no parallel Heegner test generator	consume the one canonical generator only	do not create a new module unless existing test/profile module cannot own the semantics	Heegner row schema; CM sentinel profile; closed-system sentinel tags	test matrix consumes regime/generator outputs; regime/generator definitions do not consume tests	no code movement in this gate; future test implementation must preserve full local build green status	4.28.0 baseline unless version gate explicitly opens upgrade	required later: every row must contain actual finite generator traversal evidence or remain unclosed	record any class number/CM/j mathlib dependency or noncomputable boundary explicitly	Heegner/class-number and analytic j data are comparison/mirror until operational invariant is derived
4.0.3	R	derivation	LeanDerivationPhase	Scalar-layer computation test rows: ExecComplex vs exact quadratic extension boundary	none at decision gate; possible CNNA/PillarA/Foundation/ExactQuadraticComplex.lean only after manifest	pending manifest	Foundation/ExecComplex.lean; Foundation/ExecComplexBridge.lean; Arithmetic/Schur/CharpolyC.lean; Arithmetic/CayleyDickson/ArithmeticCDBridge.lean; mathlib QuadraticAlgebra	pending Phase 1.1.1.1.1	scalar-foundation / bridge governance, not generator semantics	must check existing ExecComplex, ExecComplexBridge, Schur.CharpolyC, ArithmeticCDBridge, and mathlib QuadraticAlgebra before proposing new module	scalar layer must consume canonical generator outputs only; cannot define generator semantics	do not create ExactQuadraticComplex unless existing foundation/bridge modules cannot carry the semantics cleanly	alternate complex scalar, algebraic complex, CD complex, mirror Complex, exact quadratic norm/trace/conjugation	scalar layer consumes generator/arithmetic source data; generator definitions do not consume scalar comparison/mirror data	incremental wrapper mode; full local build green after each migration step	4.28.0 baseline unless version gate explicitly opens upgrade	required later: QxQ baseline row, Q(i) row, Q(sqrt(-3)) row, and at least one generic D row if O09 is implemented	Record Complex/Real noncomputable boundary, QuadraticAlgebra instance diamond warning, NumberField formal/non-executable dependency, and any required version-gate.	General C/R and algebraic closure remain mirror/formal. Exact quadratic candidate must avoid noncomputable definitions on operational path. Exact quadratic use must avoid analytic sqrt/Complex and cite D-source ledger.
4.1	W	refactor	LeanRefactorPhase	ExecBoundaryMatrix										Must consume the Phase 3.6 BoundaryOperatorProfile contract and must not reconstruct Schur/DtN or introduce parallel generator logic.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
4.2	W	refactor	LeanRefactorPhase	Coefficient recurrence										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
4.3	W	refactor	LeanRefactorPhase	Polynomial profile										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
4.4	W	refactor	LeanRefactorPhase	Quadratic window										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
4.5	W	refactor	LeanRefactorPhase	Operational discriminant D_op										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
4.5.1	R	derivation	LeanDerivationPhase	Proof-carrying discriminant-to-exact-quadratic instantiation gate										No consumer-side patch; missing D-source belongs earlier.	Apply global refactor regression protocol if code changes.	Use frozen Lean/mathlib baseline unless a phase-boundary upgrade gate is opened.	At minimum: one generic D-ledger row and the Eisenstein/Gauss sentinel D rows when/if the operational path derives their D. Every row must cite its ledger source.	Record any need for QuadraticAlgebra lemmas versus project-owned coordinate lemmas; no noncomputable quotient/field instances on operational path.	If instantiation requires noncomputable mathlib structure, split mirror proof from executable coordinate witness.
4.6	W	comparison	ReferenceGatePhase	Comparison target policy										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
5	R	derivation	LeanDerivationPhase	Number-theory base from operational discriminant: D_fund, conductor, quadratic field/order, basis, trace/norm/conjugation										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
5.1	R	derivation	LeanDerivationPhase	Fundamental discriminant and conductor normalization from D_op										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
5.2	R	derivation	LeanDerivationPhase	Quadratic field profile from proof-carrying discriminant										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet. Exact quadratic use must avoid analytic sqrt/Complex and cite D-source ledger.
5.3	R	derivation	LeanDerivationPhase	Quadratic order profile from D_fund and conductor										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
5.4	R	derivation	LeanDerivationPhase	Integral basis / omega_D profile										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
5.5	R	derivation	LeanDerivationPhase	Trace, norm and conjugation forms										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
6	R	derivation	LeanDerivationPhase	Units, class group, ideals, class number, prime splitting and character from the quadratic order										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
6.1	R	derivation	LeanDerivationPhase	Unit group of the quadratic order										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
6.2	R	derivation	LeanDerivationPhase	Class group, class number and ideal profiles										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
6.2.1	R	derivation	LeanDerivationPhase	Fractional and integral ideal profile										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
6.2.2	R	derivation	LeanDerivationPhase	Principal ideal predicate										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
6.3	R	derivation	LeanDerivationPhase	Heegner/PID/UFD indicator after class-number data										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
6.4	R	derivation	LeanDerivationPhase	Prime splitting and Kronecker/Dirichlet character										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
6.5	R	derivation	LeanDerivationPhase	Arithmetic-CD compatibility source-site audit and bridge-precondition register, not final compatibility theorem										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
7	R	derivation	LeanDerivationPhase	CM lattice geometry from the quadratic order and exact quadratic coordinates										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
7.1	R	derivation	LeanDerivationPhase	CM embedding and lattice basis										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
7.2	R	derivation	LeanDerivationPhase	Gram matrix, determinant and covolume										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
7.2.1	R	derivation	LeanDerivationPhase	Heegner/class-number-one regime classification after class-number data	none at decision gate; future target likely existing O07 test/profile surface	masters/cnna_roadmap_master.yaml; generated views	canonical smoke-test generator; regime split modules after Phase 1.3.2; O07 test matrix	pending Phase 1.1.1.1.1	test/schema layer, not generator layer	must reuse O07/canonical smoke-test generator; no parallel Heegner test generator	consume the one canonical generator only	do not create a new module unless existing test/profile module cannot own the semantics	Heegner row schema; CM sentinel profile; closed-system sentinel tags	Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	no code movement in this gate; future test implementation must preserve full local build green status	4.28.0 baseline unless version gate explicitly opens upgrade	required later: every row must contain actual finite generator traversal evidence or remain unclosed	record any class number/CM/j mathlib dependency or noncomputable boundary explicitly	Heegner/class-number and analytic j data are comparison/mirror until operational invariant is derived
7.3	R	derivation	LeanDerivationPhase	Period ratio tau and upper-half-plane condition										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
7.4	R	derivation	LeanDerivationPhase	Angle / cosine profile										Use minimal source objects: Path B consumes Phase 4.1 directly; Path A consumes D/order/lattice/modular prerequisites; bridges are explicit and late.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
