ID	Priority	Issue status	Addressing phase	Finding	Static observation	Risk	Refactoring consequence	Change version	Change timestamp
SCF56	G	closed-by-planning-phase	1.4.9; 13.2.1; 13.6.1; 18.5	Quaternion/geometric-algebra material needed reference-gate routing before it could influence CNNA planning.	Horn 0709.2238v1 contains useful Hamilton/Pauli/Clifford/duality/biquaternion target information, but using it directly would blur CNNA-derived-only provenance and sign/unit semantics.	Without explicit gates, external Pauli/Clifford/Dirac or biquaternion structures could silently become inputs, set orientation or scalar layers, or patch later Pillar-B physics from established theory.	V1.25 adds GA0-GA6 and comparison phases; GNG37 forbids generator/handoff rights and keeps all material as target/scratchpad context only.	V1.25	2026-05-11T08:40:00+02:00
SCF57	G	closed-by-V1.26-tooling-schema	20.27	Phase/object status could be misread as context/type identity; tool-only, database, generated-artifact, governance and reference-gate objects needed explicit separation from Lean objects.	Earlier generated phase/object tables showed status and links but did not render an explicit class field on all phase/object logic surfaces.	Category error: green generated or reference objects could be mistaken for Lean-derived objects; red/yellow Lean phases could be conflated with non-Lean tooling phases.	Add Context class taxonomy and mandatory field, render in phase/object/proof/scratchpad/module-manifest tables, and enforce status/context orthogonality via GNG38.	V1.26	2026-05-11T09:25:00+02:00
SCF58	G	closed-by-V1.29-three-layer-versioning	tooling/versioning-policy V1.29	Versioning still mixed Lean truth state, YAML planning state and tool-infrastructure state.	V1.28 separated tool/display version from Lean-data timestamp, but a planning-only YAML change and a generator-code change could still both appear mainly through the tool version, while phase/object/scratchpad/proof-dossier state had no independent planning-data version.	Reviewers could misread a plan-table update as a tool-code release, or a generator-code change as a Lean-code/data change. Snapshot provenance for YAML2SQL and the CNNA Explorer would also be ambiguous.	V1.29 introduced three independent metadata axes; V1.30 tightens them into timestamp-complete pairs: lean_data_version/lean_data_timestamp, planning_data_version/planning_data_timestamp and tool_infrastructure_version/tool_infrastructure_timestamp. Legacy tool_version, data_version, data_timestamp and tool_change_timestamp are retained only as compatibility aliases.	V1.29	2026-05-11T23:46:43+02:00
SCF59	G	closed-by-V1.30-timestamp-complete-versioning	tooling/versioning-policy V1.30	Version labels alone are insufficient for reliable history, SQL snapshots, Explorer provenance and generated artifact review.	After V1.29 the three axes existed, but downstream prose and some snapshot contracts could still emphasize the version value without always requiring the paired timestamp at every persistence boundary.	History becomes incomplete or ambiguous when a planning/tool/Lean version is stored, displayed, imported or compared without the exact timestamp of that axis. A later YAML2SQL snapshot or Explorer diff could then merge distinct states or fail to reconstruct change order.	V1.30 defines every semantic version axis as a mandatory version+timestamp pair, updates the snapshot/provenance wording, and makes the generators validate all six metadata fields: lean_data_version, lean_data_timestamp, planning_data_version, planning_data_timestamp, tool_infrastructure_version and tool_infrastructure_timestamp.	V1.30/P1.30	2026-05-11T23:53:41+02:00
SCF60	G	closed-by-V1.31-lean-toolchain-version-semantics	tooling/versioning-policy V1.31	Lean-axis version and timestamp were still too similar and could be mistaken for duplicate snapshot identifiers.	V1.30 required lean_data_version + lean_data_timestamp, but lean_data_version still contained a timestamp-like value. This made the Lean-axis pair look redundant and obscured the distinction between Lean/toolchain/API level and Lean source/data snapshot time.	History, SQL snapshots and Explorer provenance could later fail to distinguish a Lean toolchain/API upgrade from a Lean source snapshot change. Reviewers could also assume both Lean-axis fields always move together.	V1.31 sets lean_data_version to the static Lean toolchain value lean-4.28.0, keeps lean_data_timestamp at the frozen Lean source snapshot time, and updates generator labels/prose so the Lean axis is rendered as Lean toolchain version + Lean data timestamp.	V1.31/P1.31	2026-05-11T23:59:59+02:00
SCF61	G	closed-planning/tooling-schema	21.0	Object lifecycle/provenance gap: patched, renamed or deleted objects could previously be overwritten or disappear from current object views.	V1.32 adds object lifecycle fields, CEX10, non-destructive patch/rename/delete workflows, phase patch-link workflow, and generator rendering for lifecycle metadata.	Without lifecycle state and successor/current-dossier pointers, Explorer/SQL history could contradict prior provenance, hide old dossiers, or imply that a historical phase became invalid/outdated.	Treat object currency as lifecycle metadata orthogonal to object status. Objects can become superseded/renamed/deleted-retired; phases remain historical events and link to patch/successor phases instead of becoming outdated.	P1.32 / V1.32	2026-05-12T00:14:05+02:00
SCF62	G	closed-planning/tooling-schema	21.0 / 1.1.1.1.5.1	Declaration consumption records did not guarantee total classification of the 8000+ Lean declarations by syntactic type, semantic role, triviality, documentation requirement, lifecycle and owner bucket.	Before P1.33, declaration_consumption_records.generated.tsv had about 8860 rows with consumption/module/public-promotion fields, while only registered CNNA objects had context/significance/dossier/lifecycle fields. This left a gap between source inventory and Explorer-ready declaration semantics.	The Explorer could display declarations as if fully sorted, or hide/overexpose declarations, while rfl/projection wrappers, legacy markers, public API surfaces, deleted/renamed declarations and fundamental definitional contracts were not uniquely classified.	P1.33 adds CEX11, total declaration classification taxonomy, workflows and guardrails. LEG37/CEX0 closure now requires exact declaration_kind, semantic_role, triviality_tier, documentation policy, lifecycle_state, public_surface_status and owner bucket for every declaration, plus manual override for heuristic labels.	P1.33 / V1.33	2026-05-12T00:30:07+02:00
SCF63	G	closed-addressed-by-plan	22; 13.8-13.9; 15.5-15.6; 16.5-16.6; 22.0-22.7	Original Roadmap v0.0605 contained migration, chain-sheet, de-seeding, ParameterClosure, D/E and Feynman-audit obligations not yet fully represented in V1.33 planning.	Roadmap scan found missing or under-specified terms/structures: De-seeding, Kettenblatt, ParameterClosure, Nuclearity, DHR/DR, Feynman matter audit, local covariance/Hadamard/Wick, scattering/IR horizon, meta-audit markers and old-path rollback.	Without integration, future Explorer/SQL views and phase planning could look coherent while omitting critical legacy-roadmap gate obligations or semantic warnings.	Add roadmap-integration block 22, concrete future phases 13.8/13.9/15.5/15.6/16.5/16.6, objects B07/B08/PC00/D04/DE00/E04/E05/RDV0-RDV6, guardrails GNG46-GNG50 and generic external-source cross-check rendering.	P1.34/V1.34	2026-05-12T01:06:43+02:00
SCF64	G	closed-static-finding	23.0	REALOQS legacy AQFT surface is substantial and must be treated as a first-class migration/reference source, not ignored.	Static scan found 270 Lean files, 1727 declarations, 88 PillarB files, 62 PillarB/AQFT files and 596 AQFT declarations in REALOQS v0.0605 source zip.	Without a ledger, advanced legacy AQFT work could be silently reintroduced or duplicated without provenance.	Add RLC0-RLC8 and block 23 to route legacy AQFT content through migration disposition and CNNA source maps.	P1.35	2026-05-12T01:19:51+02:00
SCF65	R	open-blocker	23.1-23.3	REALOQS AQFT code cannot be ported 1:1 into CNNA.	Legacy AQFT uses custom PillarA/BInterfaces, TreeOfCliques examples/configs, noncomputable sections and @[simp] patterns. The BoundaryMatrix derived layer is entirely noncomputable in the scan.	Direct reuse would violate derived-only, handoff filtering, operational-path and naming-neutrality constraints.	Require migration disposition, A->B dependency inversion, noncomputable isolation and neutral target modules before implementation.	P1.35	2026-05-12T01:19:51+02:00
SCF66	Y	open-planned	23.4-23.6	Legacy HK/GNS/KMS/quasi-local modules provide useful target gates but not CNNA closure.	Legacy code contains HK gates, StarAlgebra/State/GNS/KMS/quasi-local/split structures and derived boundary-matrix routes.	The names may suggest established AQFT closure even when CNNA source prerequisites are absent.	Record target gates and phase order under RLC4-RLC6; force re-derivation from B local net and later C/D prerequisites.	P1.35	2026-05-12T01:19:51+02:00
SCF67	R	open-blocker	23.8	The legacy declarations need declaration-level crosswalk before Explorer visibility or migration claims.	Initial scan captures module/declaration counts but does not assign every legacy declaration to CNNA owner buckets, target gates, reject/defer buckets or lifecycle states.	Explorer could display legacy nodes as if they were CNNA-derived or current.	Make RLC8 dependent on CEX11 and block legacy overlay completeness until every visible legacy declaration has explicit non-CNNA epistemic status.	P1.35	2026-05-12T01:19:51+02:00
SCF68	G	closed-by-P1.40-workflow-audit	21.2.4 / workflow policy	Workflow 7 could be read as setting a phase red whenever the assistant had not produced a green build, conflating absent build evidence with verified build failure.	P1.39 Implementation-from-last-green-baseline said otherwise set the attempted phase R, while Workflow 11 correctly says no build means artifact-generated / local Lean build required, not green.	The automated phase loop could create unnecessary repair phases or red-lock a phase merely because the current artifact package was planning-only or build evidence was missing.	P1.40 narrows red transitions to verified local/CI failure evidence. Missing build evidence stays evidence-pending/build-required and cannot close, red-lock or advance a phase by itself.	P1.40	2026-05-12T08:18:00+02:00
SCF69	G	closed-by-P1.40-workflow-audit	10 / 73 / workflow policy	Post-green closeout still required generated tables and PDF compile, which could be misread as mandatory full-PDF regeneration after P1.39 introduced timestamp-bounded delta PDFs.	Workflow 10 predates the delta-PDF rule and did not distinguish bounded planning deltas from full release/audit checkpoints.	The documentation pipeline could reintroduce full-PDF churn and defeat the timestamp-bounded review discipline.	P1.40 rewrites closeout to require regenerated/validated tables and the applicable documentation artifact: delta PDF by default for bounded changes, full PDF only when explicitly requested or release-gated.	P1.40	2026-05-12T08:18:00+02:00
SCF70	G	closed-by-P1.40-workflow-audit	21.3 / 21.9 / CEX3 / CEX9	Red-build failure visibility existed as CEX16 but was not explicitly threaded through all downstream API and deployment dependencies.	P1.39 added CEX16 and 21.2.5, but 21.3/CEX3 and 21.9/CEX9 still named CEX12-CEX15 in several dependency fields.	Explorer API/deployment planning could expose green/current views while omitting red failure history or repair-phase publication obligations.	P1.40 adds CEX16 and 21.2.5 to 21.3/CEX3 and 21.9/CEX9 source chains, proof dossiers and scratchpads.	P1.40	2026-05-12T08:18:00+02:00
