node_number	canonical_node_label	semantic_id	current_section_path	documentation_tier	stable_node_directory_name	registry_record	main_artifact	supplement_artifact	python_source_files	python_test_files	lean_core_files	lean_proof_files	code_anchor_count	lookup_key
027	027 · C008	C008	1.4.1	D1	027_C008__record_live_response_coupled_update	derivation/registry/nodes/C008.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/027_C008__record_live_response_coupled_update/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/027_C008__record_live_response_coupled_update/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s04_record_live_update_backreaction_channels_and_finite_closure/s01_c008__record_live_response_coupled_update.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s04_record_live_update_backreaction_channels_and_finite_closure/test_s01_c008__record_live_response_coupled_update.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S04_RecordLiveUpdateBackreactionChannelsAndFiniteClosure/S01_C008_RecordLiveResponseCoupledUpdate.lean	derivation/code/lean/proofs/src/CNNAProofs/C008/S01_CanonicalRecordLiveUpdateClosure.lean	22	C008
028	028 · C016	C016	1.4.2	D1	028_C016__immutable_record_channel	derivation/registry/nodes/C016.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/028_C016__immutable_record_channel/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/028_C016__immutable_record_channel/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s04_record_live_update_backreaction_channels_and_finite_closure/s02_c016__immutable_record_channel.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s04_record_live_update_backreaction_channels_and_finite_closure/test_s02_c016__immutable_record_channel.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S04_RecordLiveUpdateBackreactionChannelsAndFiniteClosure/S02_C016_ImmutableRecordChannel.lean	derivation/code/lean/proofs/src/CNNAProofs/C016C017/S01_CanonicalRecordLiveChannelProjectionClosure.lean	12	C016
029	029 · C017	C017	1.4.3	D1	029_C017__current_live_channel	derivation/registry/nodes/C017.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/029_C017__current_live_channel/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/029_C017__current_live_channel/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s04_record_live_update_backreaction_channels_and_finite_closure/s03_c017__current_live_channel.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s04_record_live_update_backreaction_channels_and_finite_closure/test_s03_c017__current_live_channel.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S04_RecordLiveUpdateBackreactionChannelsAndFiniteClosure/S03_C017_CurrentLiveChannel.lean	derivation/code/lean/proofs/src/CNNAProofs/C016C017/S01_CanonicalRecordLiveChannelProjectionClosure.lean	12	C017
030	030 · C009	C009	1.4.4	D1	030_C009__codomain_state_x	derivation/registry/nodes/C009.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s04_record_live_update_backreaction_channels_and_finite_closure/s04_c009__codomain_state_x.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s04_record_live_update_backreaction_channels_and_finite_closure/test_s04_c009__codomain_state_x.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S04_RecordLiveUpdateBackreactionChannelsAndFiniteClosure/S04_C009_CodomainStateX.lean	derivation/code/lean/proofs/src/CNNAProofs/C009/S01_CanonicalCodomainStateAssemblyClosure.lean	14	C009
031	031 · T002	T002	1.4.5	D2	031_T002__recurrent_state_closure_theorem	derivation/registry/nodes/T002.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem/DOCUMENTATION.md					0	T002
032	032 · T003	T003	1.4.6	D2	032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem	derivation/registry/nodes/T003.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem/DOCUMENTATION.md					0	T003
033	033 · C010	C010	1.5.1	D0	033_C010__provenance_event_index	derivation/registry/nodes/C010.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index/DOCUMENTATION.md					0	C010
034	034 · N002	N002	1.5.2	D0	034_N002__response_time_origin_t_0	derivation/registry/nodes/N002.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0/DOCUMENTATION.md					0	N002
035	035 · C011	C011	1.5.3	D1	035_C011__response_derived_birth_lapse	derivation/registry/nodes/C011.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse/DOCUMENTATION.md					0	C011
036	036 · C012	C012	1.5.4	D1	036_C012__cumulative_response_derived_birth_time_t	derivation/registry/nodes/C012.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t/DOCUMENTATION.md					0	C012
037	037 · C019	C019	1.5.5	D2	037_C019__completed_finite_response_grown_carrier_x_b_l	derivation/registry/nodes/C019.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/DOCUMENTATION.md					0	C019
038	038 · P004	P004	1.5.5.1	D2	038_P004__finite_schedule_exhaustivity_and_termination	derivation/registry/nodes/P004.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination/DOCUMENTATION.md					0	P004
039	039 · P005	P005	1.5.5.2	D2	039_P005__iterated_recurrent_growth_existence_and_uniqueness	derivation/registry/nodes/P005.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness/DOCUMENTATION.md					0	P005
040	040 · P006	P006	1.5.5.3	D2	040_P006__completed_event_lapse_and_response_time_history_coherence	derivation/registry/nodes/P006.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence/DOCUMENTATION.md					0	P006
041	041 · O002	O002	1.6.1	D2	041_O002__ist_post_hoc_sym_control_obstruction	derivation/registry/nodes/O002.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction/DOCUMENTATION.md					0	O002
042	042 · CTRL001	CTRL001	1.6.2	D0	042_CTRL001__symmetric_null_steering_control	derivation/registry/nodes/CTRL001.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control/DOCUMENTATION.md					0	CTRL001
043	043 · CTRL002	CTRL002	1.6.3	D2	043_CTRL002__null_control_edge_indistinguishability_theorem_test	derivation/registry/nodes/CTRL002.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test/DOCUMENTATION.md					0	CTRL002
044	044 · CTRL003	CTRL003	1.6.4	D0	044_CTRL003__log_response_mode_robustness_control	derivation/registry/nodes/CTRL003.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/044_CTRL003__log_response_mode_robustness_control/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/044_CTRL003__log_response_mode_robustness_control/DOCUMENTATION.md					0	CTRL003
045	045 · CTRL004	CTRL004	1.6.5	D0	045_CTRL004__saturating_response_mode_robustness_control	derivation/registry/nodes/CTRL004.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/045_CTRL004__saturating_response_mode_robustness_control/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/045_CTRL004__saturating_response_mode_robustness_control/DOCUMENTATION.md					0	CTRL004
046	046 · C020	C020	2.1.1	D2	046_C020__general_admissible_boundary_interior_cut_family	derivation/registry/nodes/C020.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/DOCUMENTATION.md					0	C020
047	047 · P007	P007	2.1.1.1	D2	047_P007__general_admissible_cut_partition_and_canonicity	derivation/registry/nodes/P007.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/047_P007__general_admissible_cut_partition_and_canonicity/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/047_P007__general_admissible_cut_partition_and_canonicity/DOCUMENTATION.md					0	P007
048	048 · C021	C021	2.1.2	D2	048_C021__general_directed_schur_dtn_response	derivation/registry/nodes/C021.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/DOCUMENTATION.md					0	C021
049	049 · P008	P008	2.1.2.1	D2	049_P008__general_interior_solve_existence_and_uniqueness	derivation/registry/nodes/P008.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/049_P008__general_interior_solve_existence_and_uniqueness/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/049_P008__general_interior_solve_existence_and_uniqueness/DOCUMENTATION.md					0	P008
050	050 · P009	P009	2.1.2.2	D2	050_P009__general_schur_dtn_response_well_definedness	derivation/registry/nodes/P009.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/050_P009__general_schur_dtn_response_well_definedness/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/050_P009__general_schur_dtn_response_well_definedness/DOCUMENTATION.md					0	P009
051	051 · P010	P010	2.1.2.3	D2	051_P010__directed_kron_structural_and_positivity_preservation	derivation/registry/nodes/P010.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/051_P010__directed_kron_structural_and_positivity_preservation/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/051_P010__directed_kron_structural_and_positivity_preservation/DOCUMENTATION.md					0	P010
052	052 · C022	C022	2.1.3	D2	052_C022__schur_nesting_common_ambient_naturality	derivation/registry/nodes/C022.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/052_C022__schur_nesting_common_ambient_naturality/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/052_C022__schur_nesting_common_ambient_naturality/DOCUMENTATION.md					0	C022
053	053 · C023	C023	2.2.1	D0	053_C023__symmetric_skew_response_split_s_a	derivation/registry/nodes/C023.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/053_C023__symmetric_skew_response_split_s_a/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/053_C023__symmetric_skew_response_split_s_a/DOCUMENTATION.md					0	C023
054	054 · C024	C024	2.2.2	D0	054_C024__backreaction_current_b_a_live_a_record	derivation/registry/nodes/C024.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/054_C024__backreaction_current_b_a_live_a_record/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/054_C024__backreaction_current_b_a_live_a_record/DOCUMENTATION.md					0	C024
055	055 · C025	C025	2.3.1	D2	055_C025__canonical_regional_response_carrier	derivation/registry/nodes/C025.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier/DOCUMENTATION.md					0	C025
056	056 · P011	P011	2.3.1.1	D2	056_P011__regional_response_restriction_canonicity_and_functoriality	derivation/registry/nodes/P011.json	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier/056_P011__regional_response_restriction_canonicity_and_functoriality/SECTION.tex	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/03_regional_effective_response_carrier/055_C025__canonical_regional_response_carrier/056_P011__regional_response_restriction_canonicity_and_functoriality/DOCUMENTATION.md					0	P011
057	057 · M030	M030	3.1.1	D2	057_M030__canonical_effective_f1_f2_role_functor	derivation/registry/nodes/M030.json	derivation/paper/main/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/SECTION.tex	derivation/supplement/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/DOCUMENTATION.md					0	M030
058	058 · P012	P012	3.1.1.1	D2	058_P012__effective_role_plane_rank_and_nondegeneracy	derivation/registry/nodes/P012.json	derivation/paper/main/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/058_P012__effective_role_plane_rank_and_nondegeneracy/SECTION.tex	derivation/supplement/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/058_P012__effective_role_plane_rank_and_nondegeneracy/DOCUMENTATION.md					0	P012
059	059 · P013	P013	3.1.1.2	D2	059_P013__role_functor_naturality_equivariance_and_uniqueness	derivation/registry/nodes/P013.json	derivation/paper/main/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/059_P013__role_functor_naturality_equivariance_and_uniqueness/SECTION.tex	derivation/supplement/sections/03_directed_effective_response_algebra/01_canonical_effective_role_plane/057_M030__canonical_effective_f1_f2_role_functor/059_P013__role_functor_naturality_equivariance_and_uniqueness/DOCUMENTATION.md					0	P013
060	060 · C032	C032	3.2.1	D2	060_C032__canonical_local_operator_support_carrier	derivation/registry/nodes/C032.json	derivation/paper/main/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier/SECTION.tex	derivation/supplement/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier/DOCUMENTATION.md					0	C032
061	061 · P014	P014	3.2.1.1	D2	061_P014__local_support_carrier_and_projector_coherence	derivation/registry/nodes/P014.json	derivation/paper/main/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier/061_P014__local_support_carrier_and_projector_coherence/SECTION.tex	derivation/supplement/sections/03_directed_effective_response_algebra/02_local_operator_and_effect_support_carrier/060_C032__canonical_local_operator_support_carrier/061_P014__local_support_carrier_and_projector_coherence/DOCUMENTATION.md					0	P014
062	062 · C033	C033	3.3.1	D2	062_C033__response_generated_finite_algebraic_closure	derivation/registry/nodes/C033.json	derivation/paper/main/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure/SECTION.tex	derivation/supplement/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure/DOCUMENTATION.md					0	C033
063	063 · P015	P015	3.3.1.1	D2	063_P015__finite_response_algebra_closure_and_exact_stabilization	derivation/registry/nodes/P015.json	derivation/paper/main/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure/063_P015__finite_response_algebra_closure_and_exact_stabilization/SECTION.tex	derivation/supplement/sections/03_directed_effective_response_algebra/03_response_generated_algebraic_closure/062_C033__response_generated_finite_algebraic_closure/063_P015__finite_response_algebra_closure_and_exact_stabilization/DOCUMENTATION.md					0	P015
064	064 · M031	M031	3.4.1	D2	064_M031__intrinsic_directed_response_algebra	derivation/registry/nodes/M031.json	derivation/paper/main/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra/SECTION.tex	derivation/supplement/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra/DOCUMENTATION.md					0	M031
065	065 · P016	P016	3.4.1.1	D2	065_P016__intrinsic_generator_independence_and_canonical_algebra_equivalence	derivation/registry/nodes/P016.json	derivation/paper/main/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra/065_P016__intrinsic_generator_independence_and_canonical_algebra_equivalence/SECTION.tex	derivation/supplement/sections/03_directed_effective_response_algebra/04_intrinsic_directed_response_algebra/064_M031__intrinsic_directed_response_algebra/065_P016__intrinsic_generator_independence_and_canonical_algebra_equivalence/DOCUMENTATION.md					0	P016
066	066 · O048	O048	3.5.1	D2	066_O048__finite_cyclicity_dimension_rank_obstruction	derivation/registry/nodes/O048.json	derivation/paper/main/sections/03_directed_effective_response_algebra/05_finite_algebraic_obstruction_boundary/066_O048__finite_cyclicity_dimension_rank_obstruction/SECTION.tex	derivation/supplement/sections/03_directed_effective_response_algebra/05_finite_algebraic_obstruction_boundary/066_O048__finite_cyclicity_dimension_rank_obstruction/DOCUMENTATION.md					0	O048
067	067 · C040	C040	4.1.1	D2	067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h	derivation/registry/nodes/C040.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/DOCUMENTATION.md					0	C040
068	068 · P017	P017	4.1.1.1	D2	068_P017__exact_inverse_depth_cauchy_hilbert_identification	derivation/registry/nodes/P017.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/068_P017__exact_inverse_depth_cauchy_hilbert_identification/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/068_P017__exact_inverse_depth_cauchy_hilbert_identification/DOCUMENTATION.md					0	P017
069	069 · P018	P018	4.1.1.2	D2	069_P018__cauchy_determinant_nondegeneracy_and_rank	derivation/registry/nodes/P018.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/069_P018__cauchy_determinant_nondegeneracy_and_rank/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/067_C040__inverse_depth_cauchy_hilbert_ancestor_carrier_h/069_P018__cauchy_determinant_nondegeneracy_and_rank/DOCUMENTATION.md					0	P018
070	070 · C041	C041	4.1.2	D2	070_C041__exact_pre_post_schur_factorization_m_a_eff_h	derivation/registry/nodes/C041.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/070_C041__exact_pre_post_schur_factorization_m_a_eff_h/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/01_exact_cauchy_carrier_and_factorization/070_C041__exact_pre_post_schur_factorization_m_a_eff_h/DOCUMENTATION.md					0	C041
071	071 · C042	C042	4.2.1	D2	071_C042__canonical_schedule_ancestor_return_rank_closure	derivation/registry/nodes/C042.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/071_C042__canonical_schedule_ancestor_return_rank_closure/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/071_C042__canonical_schedule_ancestor_return_rank_closure/DOCUMENTATION.md					0	C042
072	072 · CTRL005	CTRL005	4.2.2	D0	072_CTRL005__layer_batch_schedule_robustness_control	derivation/registry/nodes/CTRL005.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/072_CTRL005__layer_batch_schedule_robustness_control/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/02_canonical_schedule_rank_closure/072_CTRL005__layer_batch_schedule_robustness_control/DOCUMENTATION.md					0	CTRL005
073	073 · C044	C044	4.3.1	D2	073_C044__canonical_finite_prefix_projective_carrier_maps	derivation/registry/nodes/C044.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps/DOCUMENTATION.md					0	C044
074	074 · P019	P019	4.3.1.1	D2	074_P019__finite_prefix_map_typing_composition_and_projective_coherence	derivation/registry/nodes/P019.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps/074_P019__finite_prefix_map_typing_composition_and_projective_coherence/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps/074_P019__finite_prefix_map_typing_composition_and_projective_coherence/DOCUMENTATION.md					0	P019
075	075 · C045	C045	4.3.2	D2	075_C045__nested_common_ambient_multiscale_transport	derivation/registry/nodes/C045.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport/DOCUMENTATION.md					0	C045
076	076 · P020	P020	4.3.2.1	D2	076_P020__common_ambient_embedding_and_transport_identities	derivation/registry/nodes/P020.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport/076_P020__common_ambient_embedding_and_transport_identities/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport/076_P020__common_ambient_embedding_and_transport_identities/DOCUMENTATION.md					0	P020
077	077 · C047	C047	4.3.3	D2	077_C047__nested_channel_refinement	derivation/registry/nodes/C047.json	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/077_C047__nested_channel_refinement/SECTION.tex	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/077_C047__nested_channel_refinement/DOCUMENTATION.md					0	C047
