node_number	id	paper_section	derivation_order	node_role	documentation_tier	documentation_tier_rule	main_paper_depth	supplement_depth	countercheck_requirement	python_anchor_status	lean_anchor_status	documentation_v2_state
082	P023	4.4.1.1	82	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
083	P024	4.4.1.2	83	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
084	P025	4.4.1.3	84	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
085	O049	4.5.1	85	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
086	C050	5.1.1	86	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
087	P026	5.1.1.1	87	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
088	C051	5.1.2	88	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
089	P027	5.1.2.1	89	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
090	M050	5.2.1	90	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
091	P028	5.2.1.1	91	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
092	P029	5.2.1.2	92	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
093	C052	5.2.2	93	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
094	P030	5.2.2.1	94	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
095	P031	5.2.2.2	95	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
096	C054	5.2.3	96	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
097	P032	5.2.3.1	97	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
098	P033	5.2.3.2	98	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
099	C053	5.3.1	99	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
100	P034	5.3.1.1	100	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
101	C055	5.4.1	101	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
102	P035	5.4.1.1	102	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
103	C056	5.4.2	103	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
104	P036	5.4.2.1	104	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
105	P037	5.4.2.2	105	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
106	C057	6.1.1	106	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
107	P038	6.1.1.1	107	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
108	P039	6.1.1.2	108	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
109	C058	6.1.2	109	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
110	P040	6.1.2.1	110	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
111	P041	6.1.2.2	111	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
112	P042	6.1.2.3	112	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
113	C059	6.2.1	113	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
114	P043	6.2.1.1	114	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
115	C060	6.2.2	115	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
116	P044	6.2.2.1	116	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
117	P045	6.2.2.2	117	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
118	C061	6.2.3	118	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
119	P046	6.2.3.1	119	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
120	O090	6.3.1	120	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
121	O091	6.3.2	121	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
122	O071	7.1.1	122	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
123	M070	7.1.2	123	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
124	P047	7.1.2.1	124	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
125	P048	7.1.2.2	125	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
126	B071	7.2.1	126	QUARANTINE	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
127	M080	8.1.1	127	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
128	P049	8.1.1.1	128	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
129	P050	8.1.1.2	129	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
130	M082	8.1.2	130	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
131	P051	8.1.2.1	131	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
132	P052	8.1.2.2	132	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
133	O081	8.1.3	133	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
134	O092	8.1.4	134	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
135	M086	8.1.5	135	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
136	P053	8.1.5.1	136	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
137	P054	8.1.5.2	137	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
138	M083	8.2.1	138	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
139	P055	8.2.1.1	139	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
140	P056	8.2.1.2	140	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
141	P057	8.2.1.3	141	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
142	O084	8.3.1	142	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
143	M085	8.3.2	143	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
144	P058	8.3.2.1	144	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
145	P059	8.3.2.2	145	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
